duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
36.950395,532,0,0,11,1,31351,16,33619968,5779456,3787560,1255344,9223372036854776000,0,0,0,325320,5133032,267262616,271581184,8192,0,0,0,0
34.978089,612,0,0,12,1,30063,223,33378304,5779456,3870160,1255344,11567104,11575295,11571200,0,325320,5133352,267089880,271581184,8192,0,0,0,0
23.355178,548,0,0,11,0,24834,155,33701888,6041600,3813032,1255344,9223372036854776000,0,0,0,325320,5132456,267124560,271581184,8192,0,0,0,0
26.27863,560,0,0,12,0,28865,82,33329152,5779456,3796288,1255344,9223372036854776000,0,0,0,325320,5117160,267312360,271581184,8192,0,0,0,0
25.55581,608,0,0,11,1,27079,15,33456128,5779456,3858496,1255344,9223372036854776000,0,0,0,325320,5116944,267100848,271581184,8192,0,0,0,0
24.160846,568,0,0,11,0,26343,0,33431552,5779456,3769136,1255344,9223372036854776000,0,0,0,325320,5132040,267188944,271581184,8192,0,0,0,0
43.06701,612,0,0,11,2,38005,40,33660928,6041600,3904000,1263536,9223372036854776000,0,0,0,325320,5117192,267036080,271581184,8192,0,0,0,0
34.94836,572,0,0,12,0,34836,297,33779712,5779456,3851568,1255344,9223372036854776000,0,0,0,325320,5133296,267107624,271581184,8192,0,0,0,0
30.082935,672,0,0,11,0,31398,550,33484800,5779456,3928976,1263536,9223372036854776000,0,0,0,325320,5116912,267030280,271581184,8192,0,0,0,0
36.26833,552,0,0,11,0,30623,8213,33402880,5779456,3863184,1255344,9223372036854776000,0,0,0,325320,5133064,267233840,271581184,8192,0,0,0,0
23.543692,616,0,0,11,0,25158,11,33701888,5779456,3869440,1255344,9223372036854776000,0,0,0,325320,5117552,267177632,271581184,8192,0,0,0,0
25.524168,588,0,0,11,0,26420,876,33546240,6041600,3746592,1255344,9223372036854776000,0,0,0,325320,5132328,267197032,271581184,8192,0,0,0,0
30.12355,596,0,0,11,1,31707,15,33816576,6041600,3827720,1255344,9223372036854776000,0,0,0,325320,5117240,267109264,271581184,8192,0,0,0,0
30.066439,616,0,0,11,0,31664,15,33693696,6041600,3892368,1263536,9223372036854776000,0,0,0,325320,5132752,267054816,271581184,8192,0,0,0,0
31.493173,608,0,0,12,0,33584,24,33624064,5779456,3869880,1255344,9223372036854776000,0,0,0,325320,5117456,267089864,271581184,8192,0,0,0,0
39.196168,532,0,0,10,1,34421,20,33624064,5779456,3919360,1263536,9223372036854776000,0,0,0,325320,5133320,267039936,271581184,8192,0,0,0,0
23.00119,636,0,0,11,0,20565,4019,33775616,5779456,3793336,1255344,9223372036854776000,0,0,0,325320,5130296,267164952,271581184,8192,0,0,0,0
24.566963,604,0,0,11,0,18223,8102,33726464,6041600,3864792,1255344,9223372036854776000,0,0,0,325320,5134024,267071536,271581184,8192,0,0,0,0
27.773508,572,0,0,14,1,26865,44,33599488,5779456,3867568,1255344,9223372036854776000,0,0,0,325320,5116888,267182880,271581184,8192,0,0,0,0
