duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
360.031492,47496,0,8,262,11,344768,42231,80990208,53551104,18684920,1229633,332922880,333185023,333053952,0,195768,35616840,2178761024,2197815296,8192,0,0,0,0
261.089064,44016,0,0,591,5,246986,41763,66629632,40435712,4008280,1191503,232914944,233046015,232980480,0,195768,22592320,2193690920,2197815296,8192,0,0,0,0
283.201342,46748,0,8,210,2,279241,52832,81969152,53026816,21303680,1245453,254803968,254935039,254869504,0,412768,34669360,2175996120,2197815296,1837664,0,0,0,0
213.376741,43924,0,0,181,6,230741,30784,78688256,53551104,19758968,1224138,190447616,190578687,190513152,0,412616,34943128,2177501992,2197815296,8192,0,0,0,0
251.934192,43588,0,0,337,7,228902,42970,66416640,40435712,4008216,1191077,61308928,166723583,113991680,52666368,195768,22710704,2193689544,2197815296,8192,0,0,0,0
298.025437,46892,0,8,444,6,317038,39222,81940480,53026816,20620352,1232161,267649024,267780095,267714560,0,412768,34804392,2176768184,2197815296,1373144,0,0,0,0
356.113921,47124,0,8,412,14,319781,65695,82247680,53813248,18337432,1198312,9109504,251396095,110309376,102816377.65027271,195768,34671496,2179175760,2197815296,1504440,0,0,0,0
300.657192,46196,0,0,229,8,272866,46621,81055744,53288960,20612040,1232812,64487424,211156991,137797632,73293824,412768,34784736,2176679408,2197815296,1439336,0,0,0,0
271.415666,43948,0,0,193,10,265906,21179,78397440,53288960,19768728,1224209,63471616,188612607,126017536,62529536,412768,34835248,2177520512,2197815296,8192,0,0,0,0
246.259582,43676,0,0,184,9,236784,38622,78569472,53288960,19769168,1224329,220725248,220856319,220790784,0,412768,34831352,2176946184,2197815296,8192,0,0,0,0
267.560752,43760,0,0,238,4,233916,57337,78438400,52502528,19777000,1224426,237109248,237240319,237174784,0,412768,34737624,2177610784,2197815296,8192,0,0,0,0
319.479447,46448,0,8,197,9,282193,48512,81219584,53288960,21244648,1245983,9551872,225837055,96841728,93051814.53569813,412768,34711072,2175591840,2197815296,1250200,0,0,0,0
224.488882,44048,0,0,191,3,246045,30223,78655488,53551104,19785792,1224360,195690496,195821567,195756032,0,412768,34802664,2177023336,2197815296,8192,0,0,0,0
318.12765,46180,0,8,201,10,303729,26799,81129472,53026816,20616864,1232289,66748416,222035967,144367616,77602816,412768,34827904,2176777296,2197815296,1357048,0,0,0,0
234.002379,44128,0,0,319,3,224828,40579,78811136,53813248,19760776,1224189,201588736,201719807,201654272,0,412768,34957360,2176628864,2197815296,8192,0,0,0,0
245.213044,44292,0,0,400,3,203534,64469,66822144,40173568,4008384,1191314,220069888,220200959,220135424,0,195768,22481440,2193393904,2197815296,8192,0,0,0,0
291.922024,45456,0,0,190,5,282826,44288,80195584,52764672,21290616,1238280,268697600,268959743,268828672,0,412768,34657248,2176025176,2197815296,1217432,0,0,0,0
283.464784,45964,0,0,223,6,276458,39663,80945152,53026816,20666976,1232362,258080768,258211839,258146304,0,412768,34698288,2176290848,2197815296,1225976,0,0,0,0
297.34921,47928,0,8,239,11,342849,25259,82763776,53288960,21322304,1245549,9674752,212205567,91585194.66666667,87055201.37544541,412768,34687816,2175374856,2197815296,1668080,0,0,0,0
251.600894,43852,0,0,185,8,238816,29600,78495744,52764672,19760056,1224626,56360960,174063615,115187712,58810368,412768,34945608,2177543888,2197815296,8192,0,0,0,0
270.873708,43856,0,0,250,7,238109,41934,78409728,53026816,19788368,1224408,9306112,182059007,82516650.66666667,72903941.42473124,412768,34736936,2177569544,2197815296,8192,0,0,0,0
271.684687,44744,0,0,242,6,229195,53570,79175680,53026816,20613528,1232650,54853632,198311935,126558208,71688192,412768,34754136,2176693456,2197815296,8192,0,0,0,0
309.862782,46624,0,8,176,10,339599,32860,82239488,53026816,21243048,1237786,9838592,220200959,96511317.33333333,89740511.78181201,412768,34720944,2176148064,2197815296,1028112,0,0,0,0
248.554623,43788,0,0,203,7,246148,22033,78397440,53026816,20116968,1233818,225968128,226099199,226033664,0,412768,34703792,2176800352,2197815296,8192,0,0,0,0
256.781617,44968,0,8,346,4,261822,27352,67534848,40435712,4008728,1190984,226361344,226492415,226426880,0,195768,22645544,2193690480,2197815296,8192,0,0,0,0
271.903071,44376,0,0,239,3,229012,46266,66875392,40435712,4008696,1191487,53248000,196083711,124641280,71376896,195768,22582280,2193690016,2197815296,8192,0,0,0,0
