duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
30.748079,688,0,0,11,0,32166,150,34361344,5779456,3993008,1263537,9223372036854776000,0,0,0,331448,5198576,267031576,271581184,8192,0,0,0,0
35.582897,672,0,0,12,0,31766,3989,34287616,5779456,3953408,1263537,9223372036854776000,0,0,0,330816,5199784,267072264,271581184,8192,0,0,0,0
33.802097,800,0,0,11,1,30554,4294,34402304,5779456,3931136,1263537,9223372036854776000,0,0,0,331448,5196000,267110432,271581184,8192,0,0,0,0
39.757336,736,0,0,11,1,37165,0,34455552,5779456,4011120,1263537,9223372036854776000,0,0,0,331448,5182688,267013880,271581184,8192,0,0,0,0
27.342491,844,0,0,11,0,28807,9,34402304,5779456,3982824,1263537,9223372036854776000,0,0,0,331448,5196384,267041360,271581184,8192,0,0,0,0
40.27218,760,0,0,13,1,38653,21,34304000,5779456,3960088,1263537,9223372036854776000,0,0,0,330816,5199608,267156760,271581184,8192,0,0,0,0
36.133315,760,0,0,11,0,38008,18,34582528,6041600,4002832,1263537,9223372036854776000,0,0,0,330672,5161552,266982264,271581184,8192,0,0,0,0
36.958647,696,0,0,11,3,33912,223,34127872,5779456,4035760,1263537,9223372036854776000,0,0,0,331448,5201304,267009440,271581184,8192,0,0,0,0
41.34111,836,0,0,12,0,33872,8081,34410496,6041600,3930904,1263537,9223372036854776000,0,0,0,330672,5161384,267050848,271581184,8192,0,0,0,0
28.486891,708,0,0,11,0,26410,3848,34353152,5779456,4009040,1263537,9223372036854776000,0,0,0,331448,5196496,267013624,271581184,8192,0,0,0,0
34.512617,696,0,0,11,1,36361,14,34557952,6041600,3956800,1263537,9223372036854776000,0,0,0,331448,5200640,267043512,271581184,8192,0,0,0,0
