duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
2277.564258,60332,0,0,396,55,2173896,128797,95219712,58212352,40166016,1568692,9223372036854776000,0,0,0,782688,57266320,2156992152,2197815296,8192,0,0,0,0
2362.278727,61796,0,0,401,67,2242454,119662,96378880,55328768,31220480,1568692,9223372036854776000,0,0,0,782688,54943704,2166085888,2197815296,8192,0,0,0,0
2358.321539,61084,0,0,412,65,2243053,146034,96120832,58212352,39269200,1502087,9223372036854776000,0,0,0,782688,57492456,2158039336,2197815296,8192,0,0,0,0
2380.872241,64500,0,0,421,69,2302862,95945,99606528,56901632,26720944,1760352,9223372036854776000,0,0,0,782688,55806312,2170600864,2197815296,8192,0,0,0,0
2280.415759,61168,0,0,445,59,2149742,135811,96559104,59785216,32386248,1278728,9223372036854776000,0,0,0,782688,58477936,2164904320,2197815296,8192,0,0,0,0
2320.815914,62140,0,0,441,57,2214124,121164,96387072,58212352,24905360,1585076,9223372036854776000,0,0,0,782688,57190920,2172316032,2197815296,8192,0,0,0,0
2388.844538,61416,0,0,374,70,2250104,135510,95924224,55590912,37132248,1515201,9223372036854776000,0,0,0,782688,55190536,2160202760,2197815296,8192,0,0,0,0
2410.614995,61992,0,0,464,63,2315053,105704,97062912,59523072,31731472,1286920,9223372036854776000,0,0,0,782688,58760736,2165492664,2197815296,394448,0,0,0,0
2272.455973,59748,0,0,405,63,2174625,116415,93941760,55590912,31678376,1568692,9223372036854776000,0,0,0,782688,54980888,2165640320,2197815296,8192,0,0,0,0
2179.838163,61932,0,0,451,54,2050465,128303,96940032,56639488,34148256,1309309,9223372036854776000,0,0,0,782688,55730104,2163017600,2197815296,8192,0,0,0,0
2520.024329,65116,0,0,506,60,2410543,111531,100253696,59785216,36854160,1278728,9223372036854776000,0,0,0,782688,58780408,2160295048,2197815296,230408,0,0,0,0
2666.379211,65012,0,0,512,70,2535505,123181,100126720,59785216,32128080,1278728,9223372036854776000,0,0,0,782688,59056488,2165237568,2197815296,8192,0,0,0,0
2188.4775,60164,0,0,377,56,2061614,122388,95215616,55590912,31106808,1507009,9223372036854776000,0,0,0,782688,55202448,2166174560,2197815296,8192,0,0,0,0
2350.494201,62648,0,0,452,59,2183448,167541,97402880,55590912,31942440,1568692,9223372036854776000,0,0,0,782688,55131552,2165263432,2197815296,8192,0,0,0,0
2634.226894,63424,0,0,544,77,2526140,109175,98504704,60309504,31727936,1278728,9223372036854776000,0,0,0,782688,59167416,2165444272,2197815296,8192,0,0,0,0
2317.468289,61460,0,0,449,63,2238637,88829,96624640,59523072,35937592,1278728,9223372036854776000,0,0,0,782688,58730056,2161388888,2197815296,230408,0,0,0,0
2471.445582,63668,0,0,451,66,2379735,99711,98893824,58998784,35794904,1309309,9223372036854776000,0,0,0,782688,58150968,2161556120,2197815296,8192,0,0,0,0
2460.001816,64476,0,0,396,68,2308858,157787,96763904,58474496,25041792,1560500,9223372036854776000,0,0,0,782688,57355336,2172089336,2197815296,8192,0,0,0,0
2406.516108,65348,0,0,439,66,2292107,126518,100438016,58998784,36617072,1309309,9223372036854776000,0,0,0,782688,58049440,2160617624,2197815296,8192,0,0,0,0
2394.870439,64672,0,0,397,57,2285897,107744,99594240,55590912,37890440,1568692,9223372036854776000,0,0,0,782688,55119688,2159292000,2197815296,8192,0,0,0,0
2191.965199,59772,0,0,395,57,2036649,142968,93990912,55328768,37869888,1568692,9223372036854776000,0,0,0,782688,54956912,2159426896,2197815296,8192,0,0,0,0
2288.008325,60312,0,0,430,61,2116462,173947,94785536,56639488,32243288,1752160,9223372036854776000,0,0,0,782688,55877760,2165069144,2197815296,8192,0,0,0,0
2288.319168,64132,0,0,358,62,2179582,115621,98668544,55853056,30757952,1493895,9223372036854776000,0,0,0,782688,55298320,2166353944,2197815296,8192,0,0,0,0
2379.256997,60704,0,0,409,67,2295164,93081,95219712,55590912,37375960,1515201,9223372036854776000,0,0,0,782688,55250856,2159951976,2197815296,8192,0,0,0,0
2584.562246,62692,0,0,473,64,2473360,109210,97755136,60047360,37050376,1278728,9223372036854776000,0,0,0,782688,58791896,2160177656,2197815296,8192,0,0,0,0
2317.083703,65584,0,0,398,66,2226096,97663,100163584,56377344,34264672,1309309,9223372036854776000,0,0,0,782688,55582224,2162941448,2197815296,8192,0,0,0,0
2306.678258,62420,0,0,376,56,2185146,126323,96989184,56639488,27813160,1309309,9223372036854776000,0,0,0,782688,55698856,2169494192,2197815296,8192,0,0,0,0
2646.462261,64528,0,0,504,65,2517179,123497,99450880,60309504,32477544,1278728,9223372036854776000,0,0,0,782688,59136472,2164704824,2197815296,8192,0,0,0,0
2342.687057,63840,0,0,433,66,2262997,76451,98897920,59523072,36930912,1278728,9223372036854776000,0,0,0,782688,58680992,2160368640,2197815296,8192,0,0,0,0
2212.460299,59476,0,0,391,54,2104375,123496,93384704,55590912,37051008,1502087,9223372036854776000,0,0,0,782688,55181968,2160253704,2197815296,8192,0,0,0,0
2490.503477,62024,0,0,373,72,2309843,193316,96133120,57163776,25821560,1752160,14344192,14352383,14348288,0,782688,55954808,2171514248,2197815296,8192,0,0,0,0
2286.149182,59948,0,0,414,50,2152562,133516,95150080,58212352,24695176,1552308,9223372036854776000,0,0,0,782688,57136400,2172500600,2197815296,8192,0,0,0,0
2563.173306,65988,0,0,555,60,2424433,130950,100618240,59523072,33951608,1278728,9223372036854776000,0,0,0,782688,58866688,2163331984,2197815296,8192,0,0,0,0
2623.93926,63060,0,0,552,68,2507549,110607,97878016,59785216,33737472,1278728,9223372036854776000,0,0,0,782688,59042504,2163599320,2197815296,8192,0,0,0,0
