duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
24.902084,1484,0,0,12,0,22518,3735,35192832,5779456,3870328,2290489,9223372036854776000,0,0,0,328904,5132120,267104312,271581184,8192,0,0,0,0
34.41078,812,0,0,11,0,35896,16,34578432,6041600,3869304,1522489,9223372036854776000,0,0,0,328904,5147688,267099552,271581184,8192,0,0,0,0
33.165862,1224,0,0,11,0,34460,374,34672640,5779456,3938272,2034489,9223372036854776000,0,0,0,328904,5148696,267036352,271581184,8192,0,0,0,0
27.43025,1260,0,0,11,0,22035,7472,34893824,5779456,3872808,2034489,9223372036854776000,0,0,0,328904,5147448,267100608,271581184,8192,0,0,0,0
41.569797,1484,0,0,12,1,28125,10115,35303424,5779456,3929904,2290489,9223372036854776000,0,0,0,328904,5132712,267045192,271581184,8192,0,0,0,0
33.757018,1420,0,0,12,1,28746,3662,35225600,5779456,3911736,2034489,9223372036854776000,0,0,0,328904,5147776,267062696,271581184,8192,0,0,0,0
29.3108,1604,0,0,12,0,31099,38,35147776,5779456,3863088,2290489,9223372036854776000,0,0,0,328904,5148360,267250592,271581184,8192,0,0,0,0
28.800963,1228,0,0,11,1,23420,3915,34885632,5779456,3845176,2034489,9223372036854776000,0,0,0,328904,5148272,267228352,271581184,8192,0,0,0,0
36.627744,1176,0,0,11,1,30219,0,34861056,5779456,3878928,2034489,9223372036854776000,0,0,0,328904,5132040,267187776,271581184,8192,0,0,0,0
32.155981,1276,0,0,11,1,30594,3814,34869248,5779456,3843728,2034489,9223372036854776000,0,0,0,328904,5148144,267130488,271581184,8192,0,0,0,0
41.265826,680,0,0,11,1,31140,3971,34676736,5779456,3829904,1522489,9223372036854776000,0,0,0,328904,5147976,267145792,271581184,8192,0,0,0,0
38.207478,1192,0,0,12,1,38451,104,35065856,6041600,3898856,2034489,9223372036854776000,0,0,0,328904,5131512,267064024,271581184,8192,0,0,0,0
28.259661,1216,0,0,12,0,21808,7916,34643968,5779456,3954232,2042681,9223372036854776000,0,0,0,328904,5148688,267020816,271581184,8192,0,0,0,0
32.071262,1536,0,0,11,0,34189,17,35057664,5779456,3886296,2290489,9223372036854776000,0,0,0,328904,5148264,267088160,271581184,8192,0,0,0,0
30.998717,1136,0,0,11,0,25737,4290,34725888,5779456,3873776,2034489,9223372036854776000,0,0,0,328904,5148280,267100600,271581184,8192,0,0,0,0
31.798946,1048,0,0,12,0,28827,4743,34656256,5779456,3901728,1778489,9223372036854776000,0,0,0,328904,5147592,267072040,271581184,8192,0,0,0,0
25.251417,1512,0,0,12,2,18798,7933,35254272,5779456,3905048,2290489,9223372036854776000,0,0,0,328904,5147728,267203456,271581184,8192,0,0,0,0
27.124554,864,0,0,12,0,29327,6,34492416,5779456,3915752,1522489,9223372036854776000,0,0,0,328904,5147928,267191616,271581184,8192,0,0,0,0
