duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
33.223871,812,0,0,10,0,27596,3941,34410496,5779456,3813832,1522492,9223372036854776000,0,0,0,329056,5149416,267161472,271581184,8192,0,0,0,0
35.520726,1180,0,0,11,1,34635,15,35000320,5779456,3781488,2034492,9223372036854776000,0,0,0,329056,5148544,267193568,271581184,8192,0,0,0,0
38.735402,1168,0,0,9,0,40459,21,34848768,6041600,3809896,2034492,10715136,10723327,10719232,0,329056,5149680,267147312,271581184,8192,0,0,0,0
24.252965,1224,0,0,10,0,25546,10,34983936,6041600,3861240,2034492,9223372036854776000,0,0,0,329056,5134768,267112904,271581184,8192,0,0,0,0
27.672669,624,0,0,12,1,26505,5,34656256,6041600,3911032,1522492,9223372036854776000,0,0,0,329056,5135096,267060152,271581184,8192,0,0,0,0
31.437285,1084,0,0,9,0,32742,524,34770944,5779456,3861112,1778492,9223372036854776000,0,0,0,329056,5150056,267118184,271581184,8192,0,0,0,0
27.276323,1128,0,0,11,0,24938,3955,34639872,5779456,3816528,1778492,9223372036854776000,0,0,0,329056,5149104,267158600,271581184,8192,0,0,0,0
31.531487,1636,0,0,12,0,25174,4213,35409920,5779456,3827288,2290492,9223372036854776000,0,0,0,329056,5150600,267281504,271581184,8192,0,0,0,0
30.147304,1316,0,0,11,1,23811,8261,35008512,5779456,3901536,2034492,9223372036854776000,0,0,0,329056,5133288,267165944,271581184,8192,0,0,0,0
33.796971,1148,0,0,9,0,35653,19,34873344,5779456,3868928,1778492,9223372036854776000,0,0,0,329056,5149944,267107048,271581184,8192,0,0,0,0
28.789332,1328,0,0,10,0,26667,3871,35098624,5779456,3814304,2034492,9223372036854776000,0,0,0,329056,5149376,267161096,271581184,8192,0,0,0,0
32.739364,1612,0,0,11,1,27594,4,35217408,5779456,3921304,2290492,10952704,10960895,10956800,0,329056,5134392,267182936,271581184,8192,0,0,0,0
36.79917,1404,0,0,10,1,35500,242,35127296,5779456,3881264,2034492,9223372036854776000,0,0,0,329056,5135168,267236560,271581184,8192,0,0,0,0
30.383057,1236,0,0,10,1,28920,3280,34648064,5779456,3898536,2034492,9223372036854776000,0,0,0,329056,5135112,267079008,271581184,8192,0,0,0,0
29.168708,848,0,0,9,1,22410,3735,34181120,5779456,3848904,1522492,9223372036854776000,0,0,0,329056,5150720,267127856,271581184,8192,0,0,0,0
27.555638,1436,0,0,11,1,25739,3686,35012608,5779456,3825152,2290492,9223372036854776000,0,0,0,329056,5133800,267151400,271581184,8192,0,0,0,0
25.602729,728,0,0,9,1,26827,198,34160640,5779456,3886400,1522492,9223372036854776000,0,0,0,329056,5133752,267090592,271581184,8192,0,0,0,0
35.44076,964,0,0,10,1,26494,3425,34746368,5779456,3789008,1778492,9223372036854776000,0,0,0,329056,5148016,267185688,271581184,8192,0,0,0,0
29.592581,1328,0,0,9,1,31232,21,35201024,5779456,3815672,2034492,9223372036854776000,0,0,0,329056,5149088,267296872,271581184,8192,0,0,0,0
25.095833,836,0,0,9,1,26259,46,34467840,6041600,3842072,1522492,9223372036854776000,0,0,0,329056,5150288,267114456,271581184,8192,0,0,0,0
33.301749,1600,0,0,9,1,27834,3959,35287040,6041600,3793560,2290492,9223372036854776000,0,0,0,329056,5149288,267173216,271581184,8192,0,0,0,0
32.794938,960,0,0,9,1,34507,291,34553856,5779456,3827160,1522492,9223372036854776000,0,0,0,329056,5149536,267148744,271581184,8192,0,0,0,0
30.044151,692,0,0,10,0,27894,4034,34545664,6041600,3814896,1522492,9223372036854776000,0,0,0,329056,5149552,267154680,271581184,8192,0,0,0,0
41.699959,1288,0,0,9,1,39427,4516,34992128,5779456,3890472,2034492,9773056,9781247,9777152,0,329056,5150744,267221120,271581184,8192,0,0,0,0
24.39442,848,0,0,10,0,21985,3884,34418688,5779456,3872544,1522492,9223372036854776000,0,0,0,329056,5149896,267103520,271581184,8192,0,0,0,0
27.909919,1500,0,0,11,0,26197,19,35254272,6041600,3797872,2290492,9223372036854776000,0,0,0,329056,5148736,267158744,271581184,8192,0,0,0,0
25.638838,668,0,0,11,1,26757,111,34578432,6041600,3855664,1522492,9223372036854776000,0,0,0,329056,5150336,267117984,271581184,8192,0,0,0,0
38.331744,1416,0,0,11,4,35190,3932,35180544,5779456,3871928,2290492,9223372036854776000,0,0,0,329056,5149896,267236512,271581184,8192,0,0,0,0
28.79936,1112,0,0,10,1,26336,3797,34865152,5779456,3828208,1778492,9223372036854776000,0,0,0,329056,5150464,267237120,271581184,8192,0,0,0,0
27.00136,884,0,0,10,1,24663,3982,34451456,5779456,3851416,1522492,9223372036854776000,0,0,0,329056,5149944,267124496,271581184,8192,0,0,0,0
26.708548,1640,0,0,10,0,24231,4001,35479552,5779456,3822208,2290492,9223372036854776000,0,0,0,329056,5148088,267155168,271581184,8192,0,0,0,0
28.337605,896,0,0,10,1,28437,438,34795520,6041600,3851088,1778492,9223372036854776000,0,0,0,329056,5150208,267114656,271581184,8192,0,0,0,0
30.228009,1260,0,0,9,2,24542,4084,35061760,5779456,3865968,2034492,9223372036854776000,0,0,0,329056,5150016,267110056,271581184,8192,0,0,0,0
31.27955,1560,0,0,9,1,32632,117,35020800,5779456,3813856,2290492,9223372036854776000,0,0,0,329056,5149504,267162848,271581184,8192,0,0,0,0
44.437793,1620,0,0,10,1,36187,8034,35311616,5779456,3823856,2290492,9223372036854776000,0,0,0,329056,5149864,267285000,271581184,8192,0,0,0,0
31.596237,676,0,0,9,0,26985,220,34217984,5779456,3858640,1522492,9223372036854776000,0,0,0,329056,5150056,267212536,271581184,8192,0,0,0,0
46.059169,1052,0,0,9,3,41035,3878,34922496,5779456,3816040,1778492,9223372036854776000,0,0,0,329056,5147504,267159176,271581184,8192,0,0,0,0
27.922207,1020,0,0,9,2,26164,9,34508800,5779456,3854352,1778492,9223372036854776000,0,0,0,329056,5134992,267123080,271581184,8192,0,0,0,0
29.150846,1016,0,0,12,1,30571,8,34799616,5779456,3824296,1778492,9223372036854776000,0,0,0,329056,5149624,267151480,271581184,8192,0,0,0,0
28.980558,1404,0,0,9,0,26434,4041,35414016,5779456,3830416,2290492,9223372036854776000,0,0,0,329056,5149312,267145152,271581184,8192,0,0,0,0
27.031252,1608,0,0,10,1,24827,4148,35356672,5779456,3851232,2290492,9223372036854776000,0,0,0,329056,5134488,267233040,271581184,8192,0,0,0,0
29.698442,1036,0,0,12,1,24594,4593,34557952,5779456,3848416,1778492,9223372036854776000,0,0,0,329056,5150000,267127608,271581184,8192,0,0,0,0
27.680284,1324,0,0,10,1,26187,11,35065856,5779456,3856080,2034492,9223372036854776000,0,0,0,329056,5134560,267226624,271581184,8192,0,0,0,0
37.346645,1632,0,0,9,1,31833,3839,35348480,5779456,3830264,2290492,9223372036854776000,0,0,0,329056,5150696,267146640,271581184,8192,0,0,0,0
35.000759,628,0,0,10,0,23585,3931,34369536,5779456,3872952,1522492,13443072,13451263,13447168,0,329056,5150568,267103928,271581184,8192,0,0,0,0
24.144243,1060,0,0,10,1,21827,3666,34693120,5779456,3798680,1778492,9223372036854776000,0,0,0,329056,5148472,267316816,271581184,8192,0,0,0,0
24.433036,864,0,0,10,0,21562,4276,34484224,5779456,3866784,1522492,9223372036854776000,0,0,0,329056,5134640,267259128,271581184,8192,0,0,0,0
51.589783,1060,0,0,11,1,32352,8018,34590720,5779456,3843136,1778492,9223372036854776000,0,0,0,329056,5150072,267133120,271581184,8192,0,0,0,0
41.496691,1196,0,0,9,1,38639,4755,35160064,5779456,3841888,2034492,9223372036854776000,0,0,0,329056,5133944,267135208,271581184,8192,0,0,0,0
33.310564,804,0,0,9,0,30484,4288,34291712,5779456,3860688,1522492,9223372036854776000,0,0,0,329056,5149896,267115272,271581184,8192,0,0,0,0
25.371632,1384,0,0,10,0,23129,3721,35528704,5779456,3816944,2290492,9223372036854776000,0,0,0,329056,5134200,267159656,271581184,8192,0,0,0,0
27.527018,896,0,0,11,1,28245,204,34832384,5779456,3843432,1778492,9223372036854776000,0,0,0,329056,5133104,267210472,271581184,8192,0,0,0,0
30.244938,1396,0,0,9,1,31388,269,35041280,5779456,3893104,2034492,9223372036854776000,0,0,0,329056,5150424,267083840,271581184,8192,0,0,0,0
32.686848,1428,0,0,10,0,22982,3830,35049472,5779456,3811944,2290492,11575296,11583487,11579392,0,329056,5150000,267163952,271581184,8192,0,0,0,0
39.460956,1388,0,0,14,1,30244,0,35176448,5779456,3823032,2034492,9223372036854776000,0,0,0,329056,5149904,267152808,271581184,8192,0,0,0,0
