duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
159.574201,21908,0,0,94,4,143905,27233,56274944,26464256,19414840,1369239,9223372036854776000,0,0,0,410128,21664040,525367920,549453824,8192,0,0,0,0
208.585682,14476,0,0,57,4,188866,19810,48517120,18935808,12144352,1369239,9223372036854776000,0,0,0,410128,14321832,533459392,549453824,8192,0,0,0,0
160.047567,14980,0,0,54,2,145149,12616,48738304,18935808,12143616,1369239,9223372036854776000,0,0,0,410128,14327128,533296896,549453824,8192,0,0,0,0
222.109069,28476,0,0,155,3,214755,18725,56233984,25563136,18216312,1369309,9223372036854776000,0,0,0,181568,21684912,533905776,549453824,8192,0,0,0,0
228.272343,14396,0,0,55,3,210280,19348,48295936,18935808,12145288,1369239,9223372036854776000,0,0,0,410128,14316704,533454664,549453824,8192,0,0,0,0
199.340907,14628,0,0,52,4,180121,19058,48390144,19460096,12145080,1369239,9223372036854776000,0,0,0,410128,14323464,533343368,549453824,8192,0,0,0,0
276.297084,33932,0,0,158,7,232089,49548,68562944,35999744,28556208,1369309,9223372036854776000,0,0,0,181568,33916584,516609432,549453824,8192,0,0,0,0
247.451579,28600,0,0,145,5,235536,23962,56455168,25825280,18150608,1361117,9223372036854776000,0,0,0,181568,21728520,533968936,549453824,8192,0,0,0,0
284.705796,28572,0,0,136,6,283368,7931,56295424,25300992,18216072,1361117,9223372036854776000,0,0,0,181568,21644392,533908440,549453824,8192,0,0,0,0
267.613784,28424,0,0,172,6,258650,12742,56311808,25300992,18215208,1361117,9223372036854776000,0,0,0,181568,21603920,533908160,549453824,8192,0,0,0,0
257.568601,28716,0,0,149,11,254339,15141,56512512,25825280,16904144,1361117,9223372036854776000,0,0,0,181568,21728224,535215488,549453824,8192,0,0,0,0
201.024598,28596,0,0,137,8,182800,27429,56393728,25825280,18216256,1369309,9223372036854776000,0,0,0,181568,21728568,533904704,549453824,8192,0,0,0,0
232.348484,28660,0,0,161,4,224536,27643,56377344,25300992,18150512,1361117,9223372036854776000,0,0,0,181568,21643760,533973264,549453824,8192,0,0,0,0
212.640529,14812,0,0,50,5,206348,7979,48701440,19460096,12145072,1369239,9223372036854776000,0,0,0,410128,14329048,533458760,549453824,8192,0,0,0,0
183.796159,14872,0,0,50,4,176399,19213,48762880,18935808,12144984,1369239,9223372036854776000,0,0,0,410128,14327224,533422504,549453824,8192,0,0,0,0
348.494485,33996,0,0,148,7,318289,23582,68407296,35999744,28555144,1361117,9223372036854776000,0,0,0,181568,33914680,516606064,549453824,8192,0,0,0,0
226.302967,21104,0,0,87,5,213216,11590,55275520,25554944,18245112,1377431,9223372036854776000,0,0,0,410128,20688544,526579912,549453824,8192,0,0,0,0
332.941787,33852,0,0,137,10,309140,49172,68390912,35999744,28556064,1361117,9223372036854776000,0,0,0,181568,33893376,516607120,549453824,8192,0,0,0,0
248.536307,21112,0,0,88,3,229222,16124,55017472,25817088,18244656,1369239,9223372036854776000,0,0,0,410128,20688408,526489184,549453824,8192,0,0,0,0
205.989477,34324,0,0,142,8,198191,29169,68546560,35999744,28555360,1361117,9223372036854776000,0,0,0,181568,33915808,516610184,549453824,8192,0,0,0,0
243.031948,33984,0,0,156,4,208981,29072,68259840,36261888,28556016,1361117,9223372036854776000,0,0,0,181568,33916608,516608784,549453824,8192,0,0,0,0
190.032277,33696,0,0,139,4,169811,35122,68247552,36261888,28555248,1361117,9223372036854776000,0,0,0,181568,33914784,516611136,549453824,8192,0,0,0,0
187.623255,28828,0,0,149,9,185992,13963,56627200,25825280,18214648,1361117,9223372036854776000,0,0,0,181568,21725616,533910016,549453824,8192,0,0,0,0
253.498685,28896,0,0,134,6,257947,16878,56553472,25563136,18215184,1361117,9223372036854776000,0,0,0,181568,21727088,533908792,549453824,8192,0,0,0,0
277.824041,34064,0,0,155,4,251868,43269,68526080,36261888,28489560,1361117,9223372036854776000,0,0,0,181568,33850672,516671448,549453824,8192,0,0,0,0
199.411736,14588,0,0,51,6,189256,11621,48869376,19197952,12145168,1369239,9223372036854776000,0,0,0,410128,14327600,533281472,549453824,8192,0,0,0,0
178.94043,14160,0,0,55,4,169141,3195,48615424,19460096,12145184,1369239,9223372036854776000,0,0,0,410128,14326408,533424752,549453824,8192,0,0,0,0
208.735403,34088,0,0,173,3,193986,33691,68349952,36261888,28490816,1361117,9223372036854776000,0,0,0,181568,33851952,516672080,549453824,8192,0,0,0,0
