duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
125.899926,6480,0,0,20,3,118287,3754,40251392,7012352,5266320,1499500,9223372036854776000,0,0,0,393080,6465680,265724632,271581184,8192,0,0,0,0
89.277485,6196,0,0,20,2,71427,12419,39895040,7274496,5233840,1499500,9223372036854776000,0,0,0,393080,6561016,265801832,271581184,8192,0,0,0,0
70.991375,6528,0,0,19,1,74232,3032,39976960,7012352,5268440,1499500,9223372036854776000,0,0,0,393080,6506600,265765544,271581184,8192,0,0,0,0
80.779854,6332,0,0,21,1,76000,6794,40251392,7012352,5279680,1499500,9223372036854776000,0,0,0,393080,6466520,265709248,271581184,8192,0,0,0,0
81.940552,6044,0,0,18,1,67257,16406,40144896,7012352,5275264,1499500,9223372036854776000,0,0,0,393080,6500568,265750192,271581184,8192,0,0,0,0
86.353708,6372,0,0,23,1,80255,11835,39927808,7274496,5242456,1499500,9223372036854776000,0,0,0,393080,6539640,265800248,271581184,8192,0,0,0,0
72.667818,6684,0,0,19,0,78510,4438,40120320,7012352,5265640,1499500,9223372036854776000,0,0,0,393080,6463448,265718744,271581184,8192,0,0,0,0
80.742788,6328,0,0,21,2,87322,14,40247296,7274496,5215928,1499500,9223372036854776000,0,0,0,393080,6535560,265805192,271581184,8192,0,0,0,0
89.685531,6388,0,0,18,4,84906,4113,40062976,7012352,5225640,1499500,9223372036854776000,0,0,0,393080,6565176,265858032,271581184,8192,0,0,0,0
67.39309,6240,0,0,18,1,70899,4088,39952384,7012352,5266952,1499500,9223372036854776000,0,0,0,393080,6467136,265724568,271581184,8192,0,0,0,0
91.785932,6268,0,0,17,3,78197,12347,40214528,7012352,5243176,1499500,9223372036854776000,0,0,0,393080,6513344,265794576,271581184,8192,0,0,0,0
73.082168,6348,0,0,19,1,69603,7677,40140800,7012352,5221184,1499500,9223372036854776000,0,0,0,393080,6548192,265853456,271581184,8192,0,0,0,0
66.359613,6248,0,0,17,1,63543,12487,40058880,7012352,5266800,1499500,9223372036854776000,0,0,0,393080,6466648,265724472,271581184,8192,0,0,0,0
79.23938,6332,0,0,22,3,68739,11556,40099840,7274496,5221256,1499500,9223372036854776000,0,0,0,393080,6510984,265800080,271581184,8192,0,0,0,0
81.01331,6364,0,0,20,1,77789,246,40263680,7012352,5244616,1499500,9223372036854776000,0,0,0,393080,6542448,265818840,271581184,8192,0,0,0,0
89.459638,6600,0,0,18,3,84526,4194,40435712,7012352,5256024,1499500,9223372036854776000,0,0,0,393080,6548568,265918672,271581184,8192,0,0,0,0
85.679922,6312,0,0,20,3,88378,0,39772160,7012352,5242416,1499500,9223372036854776000,0,0,0,393080,6539656,265825480,271581184,8192,0,0,0,0
79.382372,6244,0,0,19,3,68596,11378,39972864,7012352,5236072,1499500,9223372036854776000,0,0,0,393080,6543592,265834456,271581184,8192,0,0,0,0
91.168981,6272,0,0,19,1,91312,8178,40087552,7012352,5286480,1499500,9223372036854776000,0,0,0,393080,6464792,265812808,271581184,8192,0,0,0,0
81.595915,6244,0,0,19,2,77293,3851,40189952,7274496,5242960,1499500,9223372036854776000,0,0,0,393080,6540320,265814096,271581184,8192,0,0,0,0
74.766115,6664,0,0,18,3,65511,4182,40185856,7012352,5268936,1499500,9223372036854776000,0,0,0,393080,6493048,265748040,271581184,8192,0,0,0,0
89.030519,6436,0,0,19,4,75274,7594,40153088,7012352,5267360,1499500,9223372036854776000,0,0,0,393080,6467040,265729192,271581184,8192,0,0,0,0
82.238363,6748,0,0,26,7,78236,8174,40378368,7012352,5233352,1499500,9223372036854776000,0,0,0,393080,6522560,265814664,271581184,8192,0,0,0,0
72.315861,6396,0,0,20,2,74871,3961,40120320,7012352,5279792,1499500,9223372036854776000,0,0,0,393080,6466304,265711272,271581184,8192,0,0,0,0
81.925196,6076,0,0,20,1,76025,3334,39538688,7012352,5228048,1499500,9223372036854776000,0,0,0,393080,6506400,265954392,271581184,8192,0,0,0,0
73.797392,6248,0,0,18,1,68190,3722,39718912,7012352,5237904,1499500,9223372036854776000,0,0,0,393080,6519160,265801504,271581184,8192,0,0,0,0
82.20256,6000,0,0,18,2,73939,7822,39878656,7012352,5243648,1499500,9223372036854776000,0,0,0,393080,6517520,265793344,271581184,8192,0,0,0,0
103.002785,6456,0,0,21,3,102452,243,39911424,7274496,5225336,1499500,9223372036854776000,0,0,0,393080,6521080,265813232,271581184,8192,0,0,0,0
67.572993,6744,0,0,20,0,77022,13,40370176,7274496,5232408,1499500,9223372036854776000,0,0,0,393080,6573336,265842016,271581184,8192,0,0,0,0
113.585048,6128,0,0,20,2,102439,11480,40013824,7012352,5233776,1499500,9223372036854776000,0,0,0,393080,6573072,265864056,271581184,8192,0,0,0,0
89.321047,6520,0,0,18,3,81196,11601,40079360,7274496,5240840,1499500,9223372036854776000,0,0,0,393080,6564480,265796856,271581184,8192,0,0,0,0
