duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
88.532293,7196,0,0,20,3,71370,12070,40951808,9109504,5849400,1515892,66912256,66945023,66928640,0,401488,6921744,4338786792,4345298944,8192,160,2,206,3
64.333497,7200,0,0,20,0,70201,7968,40919040,9109504,5822928,1515892,39845888,39878655,39862272,0,401488,6921896,4338820464,4345298944,8192,160,2,206,3
79.902786,7192,0,0,18,2,74852,11164,40787968,9109504,5833656,1524084,46465024,46497791,46481408,0,401488,6945760,4338796592,4345298944,8192,160,2,206,3
66.509733,7064,0,0,22,0,81281,23,40734720,9109504,5861736,1515892,43122688,43155455,43139072,0,401488,6935544,4338799472,4345298944,8192,160,2,206,3
59.213913,7372,0,0,19,0,73009,83,41058304,9109504,5753048,1515892,38797312,38830079,38813696,0,401488,6855496,4338880128,4345298944,8192,160,2,206,3
69.973344,7268,0,0,23,1,77733,0,41050112,9109504,5801112,1515892,49643520,49676287,49659904,0,401488,6900336,4338833848,4345298944,8192,160,2,206,3
63.01909,7276,0,0,19,1,62540,11772,40992768,9109504,5759000,1515892,41877504,41910271,41893888,0,401488,6859136,4338883728,4345298944,8192,160,2,206,3
95.507513,7404,0,0,19,2,76997,22479,41218048,9109504,5803664,1524084,67436544,67502079,67469312,0,401488,6903584,4338818488,4345298944,8192,160,2,206,3
80.538416,7268,0,0,21,1,69613,8133,40996864,9109504,5746592,1515892,59113472,59146239,59129856,0,401488,6845440,4338882816,4345298944,8192,160,2,206,3
61.21352,7308,0,0,20,0,69214,4428,41328640,9109504,5781856,1515892,39616512,39649279,39632896,0,401488,6862120,4338837904,4345298944,8192,160,2,206,3
85.153502,7268,0,0,21,1,83713,7579,41095168,9109504,5878728,1524084,53346304,53379071,53362688,0,401488,6951712,4338780776,4345298944,8192,160,2,206,3
71.355343,7340,0,0,21,1,72809,3687,41058304,9109504,5823856,1524084,51380224,51412991,51396608,0,401488,6932488,4338832848,4345298944,8192,160,2,206,3
74.918911,7584,0,0,19,2,78385,101,41095168,9109504,5751032,1524084,53051392,53084159,53067776,0,401488,6853112,4338868464,4345298944,8192,160,2,206,3
