duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
76.522347,7292,0,0,16,1,79112,36,41361408,9109504,5695968,1507692,9223372036854776000,0,0,0,393632,6808296,1621060568,1627389952,8192,0,0,0,0
80.196308,7272,0,0,15,0,89356,103,41205760,9109504,5754720,1499500,9223372036854776000,0,0,0,393632,6839408,1620981920,1627389952,8192,0,0,0,0
67.708475,6900,0,0,18,0,71336,4257,40689664,9109504,5713176,1499500,9223372036854776000,0,0,0,393632,6815512,1620999760,1627389952,8192,0,0,0,0
75.743353,6616,0,0,18,4,72684,7595,40869888,9109504,5743016,1499500,9223372036854776000,0,0,0,393632,6823200,1621033000,1627389952,8192,0,0,0,0
71.558532,7328,0,0,16,5,64067,11319,41136128,9109504,5773280,1499500,9223372036854776000,0,0,0,393632,6848952,1620949840,1627389952,8192,0,0,0,0
87.301825,7292,0,0,17,3,74660,7063,40984576,9109504,5726808,1499500,9223372036854776000,0,0,0,393632,6825328,1621012832,1627389952,8192,0,0,0,0
99.65124,7276,0,0,16,3,90092,11727,41013248,9109504,5762104,1499500,9223372036854776000,0,0,0,393632,6839976,1621012160,1627389952,8192,0,0,0,0
86.997175,7124,0,0,16,2,77639,7781,41058304,9109504,5759240,1507692,9223372036854776000,0,0,0,393632,6852480,1620982656,1627389952,8192,0,0,0,0
70.114577,7268,0,0,17,1,72195,4271,40902656,9109504,5706088,1499500,9223372036854776000,0,0,0,393632,6817368,1621061920,1627389952,8192,0,0,0,0
67.218792,7140,0,0,18,1,69809,4943,41074688,9109504,5769464,1507692,9223372036854776000,0,0,0,393632,6856808,1620940176,1627389952,8192,0,0,0,0
79.896368,7172,0,0,15,4,70530,11136,41250816,9109504,5744440,1507692,9223372036854776000,0,0,0,393632,6823808,1620998392,1627389952,8192,0,0,0,0
84.509655,7208,0,0,15,5,83187,3169,41476096,9109504,5705984,1499500,9223372036854776000,0,0,0,393632,6808392,1621074296,1627389952,8192,0,0,0,0
84.207219,6584,0,0,16,1,86837,4128,40607744,9109504,5723168,1499500,9223372036854776000,0,0,0,393632,6820024,1620995896,1627389952,8192,0,0,0,0
72.676369,7404,0,0,17,1,69121,11958,41013248,9109504,5748832,1499500,9223372036854776000,0,0,0,393632,6822112,1620961224,1627389952,8192,0,0,0,0
80.576388,7252,0,0,16,3,73685,7352,40947712,9109504,5714224,1499500,9223372036854776000,0,0,0,393632,6801952,1621023440,1627389952,8192,0,0,0,0
69.600572,7116,0,0,15,1,65226,7648,41123840,9109504,5741104,1499500,9223372036854776000,0,0,0,393632,6815096,1621004256,1627389952,8192,0,0,0,0
85.930165,7120,0,0,18,2,84444,4223,40751104,9109504,5711792,1507692,9223372036854776000,0,0,0,393632,6823616,1621029888,1627389952,8192,0,0,0,0
97.740738,7184,0,0,16,1,92595,7248,41013248,9109504,5757968,1499500,9223372036854776000,0,0,0,393632,6845976,1620994352,1627389952,8192,0,0,0,0
86.567365,7348,0,0,18,2,85396,3897,41254912,9109504,5713160,1499500,9223372036854776000,0,0,0,393632,6815640,1621043480,1627389952,8192,0,0,0,0
80.408285,7216,0,0,16,2,80776,4119,41111552,9109504,5749320,1499500,9223372036854776000,0,0,0,393632,6835976,1620992928,1627389952,8192,0,0,0,0
75.784322,7164,0,0,16,2,69120,7662,41172992,9109504,5708832,1507692,9223372036854776000,0,0,0,393632,6820632,1621014200,1627389952,8192,0,0,0,0
88.584252,7100,0,0,17,2,79317,3998,40689664,9109504,5716648,1499500,9223372036854776000,0,0,0,393632,6814928,1621056744,1627389952,8192,0,0,0,0
89.762201,7264,0,0,16,1,97501,3631,41230336,9109504,5725464,1507692,9223372036854776000,0,0,0,393632,6833152,1621031032,1627389952,8192,0,0,0,0
63.081149,7308,0,0,18,2,63446,7339,41054208,9109504,5753976,1507692,9223372036854776000,0,0,0,393632,6830424,1620994528,1627389952,8192,0,0,0,0
97.759643,6780,0,0,18,3,87981,12011,40706048,9109504,5761888,1499500,9223372036854776000,0,0,0,393632,6851960,1620980760,1627389952,8192,0,0,0,0
75.287508,7116,0,0,17,0,82590,4095,41025536,9109504,5713496,1499500,9223372036854776000,0,0,0,393632,6813568,1621023192,1627389952,8192,0,0,0,0
74.677515,7268,0,0,19,1,79657,4141,41132032,9109504,5727968,1507692,9223372036854776000,0,0,0,393632,6834280,1621018336,1627389952,8192,0,0,0,0
81.26046,7492,0,0,18,1,75113,12,41123840,9109504,5722912,1499500,9223372036854776000,0,0,0,393632,6820720,1620986904,1627389952,8192,0,0,0,0
68.833893,7240,0,0,16,2,69678,8495,41144320,9109504,5709880,1499500,9223372036854776000,0,0,0,393632,6822040,1621046608,1627389952,8192,0,0,0,0
90.441318,7212,0,0,16,1,82900,10813,41066496,9109504,5714176,1507692,9223372036854776000,0,0,0,393632,6812704,1621044176,1627389952,8192,0,0,0,0
100.485973,7372,0,0,16,3,91263,3940,41287680,9109504,5716408,1499500,9223372036854776000,0,0,0,393632,6817336,1621019208,1627389952,8192,0,0,0,0
73.509883,7260,0,0,15,2,83477,36,41230336,9109504,5764192,1499500,9223372036854776000,0,0,0,393632,6852552,1620991240,1627389952,8192,0,0,0,0
71.608611,7048,0,0,15,0,81814,16,40972288,9109504,5713848,1499500,9223372036854776000,0,0,0,393632,6813880,1621047120,1627389952,8192,0,0,0,0
83.502138,7268,0,0,15,0,83959,4199,41312256,9109504,5750880,1499500,9223372036854776000,0,0,0,393632,6833904,1620980632,1627389952,8192,0,0,0,0
70.304583,7480,0,0,19,2,74069,14,41279488,9109504,5706344,1499500,9223372036854776000,0,0,0,393632,6808016,1621024928,1627389952,8192,0,0,0,0
77.084334,7160,0,0,15,3,73134,10630,41021440,9109504,5723288,1499500,9223372036854776000,0,0,0,393632,6819864,1621016472,1627389952,8192,0,0,0,0
83.301849,7300,0,0,16,2,74525,11658,41041920,9109504,5762488,1499500,9223372036854776000,0,0,0,393632,6854016,1620984808,1627389952,8192,0,0,0,0
76.702372,7052,0,0,15,1,61913,19609,41009152,9109504,5768216,1499500,9223372036854776000,0,0,0,393632,6845528,1621003152,1627389952,8192,0,0,0,0
85.027399,7224,0,0,17,1,81303,7761,41242624,9109504,5717856,1499500,9223372036854776000,0,0,0,393632,6800552,1620982456,1627389952,8192,0,0,0,0
82.940262,7236,0,0,18,1,79513,4142,41291776,9109504,5753784,1499500,9223372036854776000,0,0,0,393632,6815552,1621000360,1627389952,8192,0,0,0,0
72.86673,6864,0,0,14,8,74610,3311,40919040,9109504,5749968,1499500,9223372036854776000,0,0,0,393632,6837680,1620979800,1627389952,8192,0,0,0,0
68.223974,7264,0,0,17,0,78294,20,41115648,9109504,5767456,1499500,9223372036854776000,0,0,0,393632,6842944,1620968728,1627389952,8192,0,0,0,0
78.680126,7248,0,0,18,2,78111,4143,41213952,9109504,5754576,1499500,9223372036854776000,0,0,0,393632,6829448,1621013960,1627389952,8192,0,0,0,0
78.439913,6676,0,0,18,0,89176,19,40665088,9109504,5723648,1499500,9223372036854776000,0,0,0,393632,6821544,1621025136,1627389952,8192,0,0,0,0
93.496726,7384,0,0,17,3,82193,19028,41062400,9109504,5723144,1499500,9223372036854776000,0,0,0,393632,6818736,1621028888,1627389952,8192,0,0,0,0
92.892847,7148,0,0,16,1,88738,4034,41213952,9109504,5709040,1507692,9223372036854776000,0,0,0,393632,6810544,1621005936,1627389952,8192,0,0,0,0
77.864689,7040,0,0,19,3,87577,3875,41222144,9109504,5704304,1499500,9223372036854776000,0,0,0,393632,6804256,1621032632,1627389952,8192,0,0,0,0
