duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
387.12195,47516,0,0,389,29,385452,29368,82505728,53948416,20986928,1396510,362545152,362807295,362676224,0,225696,35460600,1606009312,1627389952,1673792,160,2,206,3
359.172502,47052,0,0,216,9,344860,16383,81694720,54210560,19815480,1389160,333971456,334233599,334102528,0,225696,35612600,1607160144,1627389952,8192,160,2,206,3
364.364434,47808,0,0,186,16,342926,29526,82468864,54734848,19319584,1379612,10100736,257818623,85204992,101818572.5279143,233760,36083872,1607565472,1627389952,8192,1644,21,1582,23
374.596828,48712,0,0,270,27,345206,34926,83668992,54210560,21048240,1388628,25198592,322961407,174018560,148811776,231768,35826296,1605958992,1627389952,911208,392,5,432,6
408.384207,48264,0,0,389,12,386181,31045,83632128,54472704,20984344,1388346,378273792,378535935,378404864,0,225696,35773128,1605921568,1627389952,1209304,160,2,206,3
404.134697,48828,0,0,289,14,384599,45562,83599360,53948416,20383728,1381079,366477312,366739455,366608384,0,231768,35711632,1606625544,1627389952,1471448,392,5,432,6
347.216733,47272,0,0,190,14,316234,47948,82014208,53948416,19513360,1378796,319291392,319553535,319422464,0,225696,35947024,1607508264,1627389952,8192,160,2,206,3
427.688495,47852,0,0,252,9,401708,42279,83193856,53948416,20696928,1396739,393740288,394002431,393871360,0,225696,35675080,1606313464,1627389952,1837952,160,2,206,3
409.747711,47688,0,0,190,13,382767,52821,82731008,54210560,20980704,1388311,377487360,377749503,377618432,0,225696,35786360,1605949016,1627389952,1250200,160,2,206,3
328.6494,46936,0,0,195,9,322027,43793,81588224,53948416,19520008,1378796,302514176,302776319,302645248,0,225696,35823424,1607498024,1627389952,8192,160,2,206,3
411.713393,48212,0,0,304,14,418704,37658,83574784,54996992,20957856,1388297,380108800,380370943,380239872,0,225696,35978904,1606023192,1627389952,8192,160,2,206,3
423.2037,48896,0,0,179,12,397156,36834,83001344,54210560,20329824,1381005,389808128,390070271,389939200,0,225696,35870432,1606676976,1627389952,1357048,160,2,206,3
391.817418,48044,0,0,191,7,368348,35674,82714624,54472704,20349960,1381027,355205120,355467263,355336192,0,225696,35852832,1606592704,1627389952,8192,160,2,206,3
392.34687,48972,0,0,288,14,370181,42232,83853312,54472704,19813232,1389327,364904448,365166591,365035520,0,225696,35944184,1607169888,1627389952,1761064,160,2,206,3
411.639098,47492,0,0,404,14,396109,30772,81530880,53686272,20363184,1381000,385875968,386138111,386007040,0,225696,35557592,1606644168,1627389952,8192,160,2,206,3
325.010796,47280,0,0,178,10,309480,22697,82022400,54210560,19502536,1370604,290193408,290455551,290324480,0,225696,35831976,1607611880,1627389952,8192,160,2,206,3
356.997904,46816,0,0,213,9,314979,42385,81756160,54472704,19815392,1380906,324272128,324534271,324403200,0,225696,35835184,1607172776,1627389952,8192,160,2,206,3
341.095301,46664,0,0,473,11,317550,41106,81526784,54210560,19498184,1378796,317456384,317718527,317587456,0,225696,35858920,1607622448,1627389952,8192,160,2,206,3
391.520245,48640,0,0,378,8,380532,33263,82571264,53948416,20340272,1389183,369098752,369360895,369229824,0,225696,35705240,1606679928,1627389952,1734584,160,2,206,3
388.00445,47256,0,0,248,12,401522,20616,82198528,53948416,20905072,1388274,362283008,362545151,362414080,0,225696,35515552,1606089600,1627389952,1301720,160,2,206,3
353.263072,46644,0,0,265,12,309612,56017,81444864,54210560,19847856,1380906,321912832,322174975,322043904,0,225696,35743664,1607146008,1627389952,8192,160,2,206,3
366.323257,48092,0,0,350,10,341063,33247,82595840,54210560,20343952,1389213,343146496,343408639,343277568,0,225696,35837912,1606604720,1627389952,229720,160,2,206,3
403.329167,47836,0,0,203,10,398588,46893,83111936,54472704,20963032,1388597,375390208,375652351,375521280,0,225696,35775152,1606045464,1627389952,1340376,160,2,206,3
336.800527,49416,0,0,189,10,330203,28904,83910656,54210560,20364048,1381065,307494912,307757055,307625984,0,231768,35958072,1606628224,1627389952,1602520,481,6,498,7
339.463774,47452,0,0,228,8,311061,43202,82198528,54472704,19804800,1380906,311427072,311689215,311558144,0,225696,36108112,1607161880,1627389952,8192,160,2,206,3
402.084953,47760,0,0,374,10,394156,34737,82800640,53948416,21021784,1388292,378798080,379060223,378929152,0,225696,35634456,1605992464,1627389952,1373080,160,2,206,3
360.803485,48692,0,0,288,13,360548,29563,83353600,53686272,20986144,1388321,340262912,340525055,340393984,0,225696,35880680,1606040264,1627389952,1608256,160,2,206,3
345.835305,48412,0,0,224,7,358670,48032,83456000,54996992,19826488,1381016,308805632,309067775,308936704,0,225696,36033920,1607106592,1627389952,1538264,160,2,206,3
386.125553,48484,0,0,470,18,351781,60305,83533824,54472704,20343464,1381126,360448000,360710143,360579072,0,225696,35822272,1606671736,1627389952,1818688,160,2,206,3
496.944916,48460,0,0,296,17,471670,35576,83628032,54734848,20390304,1396767,464781312,465043455,464912384,0,225696,35857328,1606529200,1627389952,1471448,160,2,206,3
325.402111,47672,0,0,222,11,318667,37887,81903616,54210560,20332640,1389200,299106304,299368447,299237376,0,225696,35935720,1606668728,1627389952,8192,160,2,206,3
410.266757,47812,0,0,435,35,360221,67637,82477056,54210560,20326912,1381030,383516672,383778815,383647744,0,225696,35834736,1606676000,1627389952,535368,160,2,206,3
329.906001,47004,0,0,220,4,292736,53170,81727488,54472704,19428480,1370604,298319872,298582015,298450944,0,225696,35924872,1607668848,1627389952,8192,160,2,206,3
340.857402,47188,0,0,282,12,328487,34328,81993728,54210560,19478384,1370604,310116352,310378495,310247424,0,225696,35945664,1607517616,1627389952,8192,160,2,206,3
342.317428,47728,0,0,226,13,354039,42911,82665472,54996992,19235992,1378450,10567680,304349183,157394944,146823168,231768,36260680,1607769744,1627389952,8192,481,6,498,7
375.895753,48580,0,0,241,6,376821,32805,84144128,54472704,20333152,1389201,354156544,354418687,354287616,0,225696,35977088,1606659464,1627389952,1673792,160,2,206,3
333.303528,47844,0,0,222,6,321266,25057,82378752,54472704,19479416,1370604,307757056,308019199,307888128,0,225696,36094376,1607414600,1627389952,8192,160,2,206,3
388.369384,47912,0,0,212,19,399052,18738,83136512,54996992,20988832,1388326,360448000,360710143,360579072,0,225696,35812480,1605999680,1627389952,1473880,160,2,206,3
432.536107,47308,0,0,305,15,385876,39899,82022400,54996992,19311816,1389098,398458880,398721023,398589952,0,225696,36022280,1607634256,1627389952,8192,160,2,206,3
436.187585,48684,0,0,360,11,390374,56960,83668992,54472704,20354296,1381008,390856704,391118847,390987776,0,225696,35782296,1606623824,1627389952,1842912,160,2,206,3
376.067054,47468,0,0,430,17,349147,31947,82485248,54210560,20316864,1381031,342097920,342360063,342228992,0,225696,35920000,1606679352,1627389952,584592,160,2,206,3
393.127464,47060,0,0,264,19,383911,40124,81899520,53948416,19497624,1370604,362020864,362283007,362151936,0,225696,35732320,1607500808,1627389952,8192,160,2,206,3
419.337141,46600,0,0,371,13,372737,42682,81428480,53948416,19883704,1389152,37683200,341311487,189440000,151740416,231768,35739936,1607131216,1627389952,8192,392,5,432,6
331.676503,46780,0,0,165,11,315600,35245,81723392,54734848,19500648,1370604,302514176,302776319,302645248,0,225696,35674848,1607490912,1627389952,8192,160,2,206,3
346.743488,47484,0,0,216,21,351305,31193,82202624,54210560,20363216,1381133,315097088,315359231,315228160,0,225696,35645624,1606620128,1627389952,8192,160,2,206,3
346.784248,47344,0,0,328,9,329365,44292,82034688,54210560,19823640,1380906,318242816,318504959,318373888,0,225696,35874608,1607174512,1627389952,8192,160,2,206,3
399.942539,49192,0,0,289,36,418512,28445,84029440,53948416,21001984,1388378,362807296,363069439,362938368,0,231768,35651504,1605983616,1627389952,1804896,481,6,498,7
363.433367,48172,0,0,457,14,360610,39331,82804736,54996992,20957216,1388312,330563584,330825727,330694656,0,225696,35834184,1605912352,1627389952,1237944,160,2,206,3
369.874305,46832,0,0,286,18,361808,37793,81502208,54472704,19488624,1380906,347340800,347602943,347471872,0,225696,36006328,1607515784,1627389952,8192,160,2,206,3
436.524053,48588,0,0,207,10,411872,44955,82628608,53948416,21086328,1388648,399769600,400031743,399900672,0,231768,35466272,1605905712,1627389952,8192,392,5,432,6
339.800768,46524,0,0,180,9,318886,35882,81231872,54734848,19495592,1370604,310378496,310640639,310509568,0,225696,35959752,1607436160,1627389952,8192,160,2,206,3
315.187667,46828,0,0,200,9,305918,48957,81637376,54734848,19489872,1370604,293339136,293601279,293470208,0,225696,35974808,1607515800,1627389952,8192,160,2,206,3
363.507447,47328,0,0,280,9,348893,26394,81940480,54472704,19859888,1380906,339738624,340000767,339869696,0,225696,35759400,1607076680,1627389952,8192,160,2,206,3
343.736754,47276,0,0,351,16,342499,26889,82010112,54472704,20357384,1381016,319291392,319553535,319422464,0,225696,35822456,1606634528,1627389952,8192,160,2,206,3
413.343003,48904,0,0,247,8,371409,71201,83873792,54734848,21018584,1388266,385089536,385351679,385220608,0,225696,35665712,1605888224,1627389952,1726672,160,2,206,3
332.869796,47004,0,0,435,5,318130,43818,81997824,54210560,19481648,1370604,301465600,301727743,301596672,0,225696,35881512,1607522584,1627389952,8192,160,2,206,3
442.252374,47604,0,0,219,14,418880,27099,82001920,54210560,19916472,1389210,400818176,401080319,400949248,0,225696,35805272,1607053936,1627389952,8192,160,2,206,3
361.659266,46720,0,0,446,5,321571,38133,81666048,54210560,19509976,1370604,340525056,340787199,340656128,0,225696,35721280,1607497256,1627389952,8192,160,2,206,3
