duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
196.623914,29100,0,0,142,3,181394,23634,56659968,33820672,18397568,1385701,175767552,175898623,175833088,0,189624,21761496,4326797544,4345298944,8192,160,2,206,3
238.701091,35408,0,0,144,6,226702,35390,69890048,44781568,31877856,1385701,212467712,212598783,212533248,0,189624,35105016,4304933480,4345298944,8192,160,2,206,3
126.7875,14352,0,0,54,1,103521,20551,48435200,19066880,12318104,1385631,107085824,107151359,107118592,0,418184,14491776,4329076576,4345298944,8192,160,2,206,3
112.607741,14072,0,0,56,1,113820,11,48578560,19329024,12319344,1393823,92078080,92143615,92110848,0,418184,14472496,4329064544,4345298944,8192,160,2,206,3
174.346159,29148,0,0,153,7,158070,25890,56885248,34082816,18332352,1377509,154009600,154140671,154075136,0,189624,21865416,4326861472,4345298944,8192,160,2,206,3
168.055731,29128,0,0,133,7,179599,14762,56963072,34082816,16299640,1377509,146669568,146800639,146735104,0,189624,22062376,4328895352,4345298944,8192,160,2,206,3
138.604486,21192,0,0,89,2,128337,8303,55267328,25423872,18419304,1393823,115802112,115867647,115834880,0,418184,20833040,4322184904,4345298944,8192,160,2,206,3
140.202734,21536,0,0,93,3,128627,14710,55603200,25423872,18420056,1385631,111607808,111673343,111640576,0,418184,20833984,4322230368,4345298944,8192,160,2,206,3
213.618396,35848,0,0,133,6,176489,39005,70438912,44519424,32665232,1385701,192413696,192544767,192479232,0,189624,35891432,4304144904,4345298944,8192,160,2,206,3
108.021054,15188,0,0,54,2,92640,16806,49045504,19066880,12320232,1385631,87490560,87556095,87523328,0,418184,14502656,4329009608,4345298944,8192,160,2,206,3
180.619838,29164,0,0,127,4,163184,28672,56770560,34082816,17545776,1385701,159121408,159252479,159186944,0,189624,21853472,4327649104,4345298944,8192,160,2,206,3
165.812296,21276,0,0,84,3,137746,20184,55590912,25686016,18420000,1385631,133758976,133824511,133791744,0,418184,20834280,4322243888,4345298944,8192,160,2,206,3
124.296001,14268,0,0,55,2,99738,22257,48250880,19329024,12318944,1393823,97779712,97845247,97812480,0,418184,14492896,4329063424,4345298944,8192,160,2,206,3
158.411738,21204,0,0,94,1,128253,24239,55562240,25423872,18420296,1393823,127008768,127074303,127041536,0,418184,20822224,4322226568,4345298944,8192,160,2,206,3
231.382763,36840,0,0,144,4,190775,38154,71364608,61558784,25985120,1385701,202375168,202506239,202440704,0,189624,36101696,4319183480,4345298944,8192,160,2,206,3
221.802204,36380,0,0,145,7,199702,20379,70762496,44257280,32730704,1385701,188481536,188612607,188547072,0,189624,35941040,4304081584,4345298944,8192,160,2,206,3
212.507517,36520,0,0,140,2,197257,15571,70914048,44781568,32926024,1385701,191496192,191627263,191561728,0,189624,36176704,4303886672,4345298944,8192,160,2,206,3
137.959509,21472,0,0,99,1,132232,6995,55619584,25423872,18419896,1385631,112787456,112852991,112820224,0,418184,20833800,4322166424,4345298944,8192,160,2,206,3
195.137555,29032,0,0,127,4,171723,18564,56758272,34344960,18397128,1385701,32587776,143261695,87896064,55300096,189624,21841192,4326793080,4345298944,8192,160,2,206,3
223.508771,36760,0,0,138,2,200895,21598,71143424,44519424,32927392,1385701,201850880,201981951,201916416,0,189624,36166448,4303882888,4345298944,8192,160,2,206,3
228.175373,36508,0,0,140,2,194753,34223,70893568,44519424,32927224,1377509,207093760,207224831,207159296,0,189624,36177624,4303885480,4345298944,8192,160,2,206,3
108.420982,14448,0,0,49,2,113575,3876,48500736,19066880,12319376,1385631,86179840,86245375,86212608,0,418184,14468456,4329073192,4345298944,8192,160,2,206,3
105.566794,14832,0,0,55,1,109964,4795,48832512,19329024,12320112,1393823,78249984,78315519,78282752,0,418184,14474872,4329053616,4345298944,8192,160,2,206,3
205.377446,36232,0,0,136,7,182402,20720,70795264,44519424,32926656,1385701,185729024,185860095,185794560,0,189624,36152712,4303886576,4345298944,8192,160,2,206,3
116.677415,21092,0,0,94,3,116891,15107,55193600,25686016,18419912,1385631,94568448,94633983,94601216,0,418184,20822384,4322029848,4345298944,8192,160,2,206,3
205.77279,29296,0,0,153,3,183627,17157,56692736,33820672,18397672,1385701,185204736,185335807,185270272,0,189624,21814728,4326796928,4345298944,8192,160,2,206,3
149.642363,21264,0,0,89,3,133068,22923,55394304,25423872,18419920,1385631,122552320,122617855,122585088,0,418184,20829536,4322229520,4345298944,8192,160,2,206,3
216.551952,36424,0,0,154,2,191853,23694,70828032,44257280,32927032,1385701,196083712,196214783,196149248,0,189624,36123408,4303883456,4345298944,8192,160,2,206,3
192.167277,29140,0,0,142,3,154974,38913,56758272,33820672,18397936,1377509,171180032,171311103,171245568,0,189624,21781472,4326796280,4345298944,8192,160,2,206,3
152.746181,21236,0,0,87,1,144173,12365,55287808,25423872,18419176,1393823,128647168,128712703,128679936,0,418184,20832912,4322199208,4345298944,8192,160,2,206,3
141.525915,21156,0,0,92,2,120894,20121,55357440,25686016,18419840,1385631,120586240,120651775,120619008,0,418184,20834088,4321830944,4345298944,8192,160,2,206,3
121.128428,21272,0,0,96,6,124181,14647,55439360,25686016,18419920,1393823,97910784,97976319,97943552,0,418184,20834192,4321804872,4345298944,8192,160,2,206,3
226.650163,36292,0,0,140,4,182484,39278,70639616,44257280,32926528,1385701,204341248,204472319,204406784,0,189624,36178072,4303832576,4345298944,8192,160,2,206,3
147.270974,21220,0,0,95,1,133908,12506,55320576,25686016,18418744,1393823,127074304,127139839,127107072,0,418184,20832728,4321762400,4345298944,8192,160,2,206,3
176.064572,29068,0,0,150,8,194806,11585,56541184,33820672,17413736,1377509,153223168,153354239,153288704,0,189624,21801704,4327778776,4345298944,8192,160,2,206,3
175.305037,29016,0,0,128,7,175603,18563,56651776,34082816,16627808,1385701,154140672,154271743,154206208,0,189624,21841040,4328567136,4345298944,8192,160,2,206,3
166.224575,28796,0,0,138,3,168955,20584,56606720,34344960,18397160,1385701,146407424,146538495,146472960,0,189624,21840360,4326797464,4345298944,8192,160,2,206,3
134.869862,14716,0,0,45,2,124990,7974,48799744,19329024,12318912,1393823,112394240,112459775,112427008,0,418184,14492904,4329065336,4345298944,8192,160,2,206,3
191.564769,28912,0,0,139,3,182199,11228,56475648,34082816,18331792,1385701,170524672,170655743,170590208,0,189624,21841056,4326862800,4345298944,8192,160,2,206,3
116.828243,14496,0,0,52,1,105823,11780,48394240,19329024,12319400,1393823,96862208,96927743,96894976,0,418184,14487488,4329055032,4345298944,8192,160,2,206,3
214.43706,36504,0,0,153,2,182167,29001,70934528,44781568,32861024,1385701,193855488,193986559,193921024,0,189624,36088192,4303951360,4345298944,8192,160,2,206,3
111.959721,14900,0,0,59,4,107880,5622,48816128,19066880,12319784,1385631,91553792,91619327,91586560,0,418184,14455064,4329054128,4345298944,8192,160,2,206,3
181.1665,29120,0,0,152,4,170108,26443,56737792,34082816,18068544,1385701,161480704,161611775,161546240,0,189624,21839944,4327124728,4345298944,8192,160,2,206,3
142.277695,21248,0,0,91,4,114336,24170,55291904,25686016,18419872,1393823,114819072,114884607,114851840,0,418184,20822400,4322234776,4345298944,8192,160,2,206,3
145.072506,21376,0,0,94,1,124871,16118,55582720,25686016,18420496,1385631,115146752,115212287,115179520,0,418184,20834712,4322245208,4345298944,8192,160,2,206,3
141.967096,21444,0,0,90,1,107567,31478,55422976,25686016,18420104,1393823,113115136,113180671,113147904,0,418184,20834344,4322212632,4345298944,8192,160,2,206,3
196.267917,34600,0,0,125,7,188585,30185,68915200,44257280,30764568,1385701,175243264,175374335,175308800,0,189624,34264584,4305976776,4345298944,8192,160,2,206,3
172.944266,29288,0,0,148,8,169965,22156,56713216,33820672,18332104,1385701,152698880,152829951,152764416,0,189624,21801144,4326862752,4345298944,8192,160,2,206,3
220.11579,36396,0,0,140,3,193507,24708,70881280,44781568,32926944,1377509,196870144,197001215,196935680,0,189624,36154208,4303885464,4345298944,8192,160,2,206,3
184.73877,29032,0,0,133,7,182604,17928,56840192,34344960,17414496,1377509,162136064,162267135,162201600,0,189624,21853608,4327775072,4345298944,8192,160,2,206,3
189.57403,29276,0,0,129,1,170209,23718,56868864,34344960,18397576,1377509,168558592,168689663,168624128,0,189624,21865456,4326791832,4345298944,8192,160,2,206,3
99.330652,14712,0,0,59,3,98575,14940,48513024,19329024,12320296,1393823,78577664,78643199,78610432,0,418184,14488384,4329109016,4345298944,8192,160,2,206,3
110.733732,14968,0,0,56,3,105445,15872,48922624,19329024,12320184,1385631,88735744,88801279,88768512,0,418184,14499184,4329117176,4345298944,8192,160,2,206,3
107.542066,14556,0,0,53,2,91968,11912,48369664,19329024,12320296,1393823,82837504,82903039,82870272,0,418184,14503024,4329064240,4345298944,8192,160,2,206,3
218.800025,36244,0,0,146,3,204728,11820,70754304,44519424,32861656,1377509,196214784,196345855,196280320,0,189624,36112128,4303945880,4345298944,8192,160,2,206,3
140.898423,21128,0,0,94,3,135595,11320,55615488,25686016,18419072,1385631,118095872,118161407,118128640,0,418184,20833256,4321742024,4345298944,8192,160,2,206,3
117.775502,14532,0,0,57,2,115750,7521,48541696,19066880,12320384,1385631,87228416,87293951,87261184,0,418184,14502808,4329106248,4345298944,8192,160,2,206,3
