duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
173.319589,24956,0,1000,168,4,175965,21096,59367424,25137152,21358616,1875165,9223372036854776000,0,0,0,188560,24314584,249075200,271581184,8192,0,0,0,0
227.993026,24156,0,1000,220,3,220344,28326,58425344,23748608,20942840,1875165,9223372036854776000,0,0,0,188560,23313888,249497616,271581184,8192,0,0,0,0
253.780786,26908,0,1000,234,4,230769,43327,57606144,22974464,20105584,1875165,9223372036854776000,0,0,0,188560,22556408,250338480,271581184,8192,0,0,0,0
302.976812,24792,0,504,245,2,257616,44205,59326464,25145344,21852976,1619165,9223372036854776000,0,0,0,188832,24708344,248384584,271581184,8192,0,0,0,0
382.920698,35844,0,1504,325,6,353421,40558,70221824,35459072,32350992,2131165,9223372036854776000,0,0,0,58864,35056032,238087504,271581184,8192,0,0,0,0
240.221477,24168,0,1000,221,7,206085,29297,58470400,24010752,20944672,1883357,9223372036854776000,0,0,0,188560,23372848,249288832,271581184,8192,0,0,0,0
445.443402,39048,0,2000,359,9,395899,40011,71479296,36343808,33132816,2387165,9223372036854776000,0,0,0,58864,35913528,237310640,271581184,8192,0,0,0,0
251.521493,21788,0,504,189,7,231913,38500,55779328,21532672,18240544,1627357,9223372036854776000,0,0,0,188832,21137920,251997192,271581184,8192,0,0,0,0
345.853428,30708,0,1000,298,6,297219,49505,61079552,26714112,23311296,1875165,9223372036854776000,0,0,0,58864,26105016,247131464,271581184,8192,0,0,0,0
169.52334,25204,0,1000,162,2,171144,21756,59244544,25137152,21491096,1883357,9223372036854776000,0,0,0,188560,24312176,248941784,271581184,8192,0,0,0,0
299.704208,26548,0,1504,246,7,300180,19944,59797504,25022464,22452216,2131165,9223372036854776000,0,0,0,188560,24600000,247992080,271581184,8192,0,0,0,0
266.818382,25108,0,504,285,6,241505,43426,59396096,25145344,21852600,1619165,9223372036854776000,0,0,0,188832,24708152,248386784,271581184,8192,0,0,0,0
229.290191,22204,0,504,214,6,186528,39708,55930880,21852160,18556888,1619165,9223372036854776000,0,0,0,188832,21443944,251677704,271581184,8192,0,0,0,0
377.274763,36044,0,2000,324,12,354078,41553,67883008,32866304,30125752,2387165,9223372036854776000,0,0,0,58864,32431912,240319152,271581184,8192,0,0,0,0
285.731429,26476,0,1504,245,4,277811,30340,60047360,25284608,21536272,2131165,9223372036854776000,0,0,0,188560,24687512,248905928,271581184,8192,0,0,0,0
233.19414,27268,0,1504,228,2,221543,24946,57290752,22446080,19156480,2131165,9223372036854776000,0,0,0,188560,22025016,251284696,271581184,8192,0,0,0,0
347.315666,32628,0,1504,257,4,306829,36284,67121152,32505856,28819456,2131165,9223372036854776000,0,0,0,188560,31634568,241618896,271581184,8192,0,0,0,0
336.377963,30576,0,1000,287,10,321932,31534,61018112,26451968,23375624,1875165,9223372036854776000,0,0,0,58864,26027688,247069144,271581184,8192,0,0,0,0
139.777974,18544,0,504,117,5,142512,20044,49070080,14831616,11873360,1619165,9223372036854776000,0,0,0,188560,14429280,258576376,271581184,8192,0,0,0,0
160.200594,18352,0,504,105,3,148423,16378,48951296,15093760,12069352,1619165,9223372036854776000,0,0,0,188560,14532504,258381976,271581184,8192,0,0,0,0
480.305813,39344,0,2000,361,10,438986,52243,71458816,36343808,33396072,2395357,9223372036854776000,0,0,0,58864,35911024,237048840,271581184,8192,0,0,0,0
148.38487,18088,0,504,106,4,151419,15308,48959488,14831616,11938072,1619165,9223372036854776000,0,0,0,188560,14407728,258513064,271581184,8192,0,0,0,0
282.398379,28768,0,2000,273,8,251208,40043,63078400,27971584,24521976,2387165,9223372036854776000,0,0,0,188560,27568744,245920608,271581184,8192,0,0,0,0
385.82845,35796,0,1504,341,15,317855,63991,70434816,35983360,32287448,2139357,9223372036854776000,0,0,0,58864,35124376,238153944,271581184,8192,0,0,0,0
171.288534,25044,0,1000,154,3,163474,28677,59273216,25137152,21751568,1875165,9223372036854776000,0,0,0,188560,24311672,248681896,271581184,8192,0,0,0,0
233.568801,27496,0,1504,224,2,203575,46950,57516032,22446080,19351712,2131165,9223372036854776000,0,0,0,188560,22088736,251049200,271581184,8192,0,0,0,0
170.069959,18456,0,504,127,11,169460,10691,49221632,15355904,11284824,1627357,9223372036854776000,0,0,0,188560,14529944,259152696,271581184,8192,0,0,0,0
221.946061,22300,0,504,152,6,177345,45302,56451072,22441984,19164688,1619165,9223372036854776000,0,0,0,188832,22018184,251068656,271581184,8192,0,0,0,0
166.601747,18116,0,504,133,4,164107,19416,49008640,14831616,11348648,1619165,9223372036854776000,0,0,0,188560,14437176,259089736,271581184,8192,0,0,0,0
162.345982,18568,0,504,119,5,168135,15698,49377280,15355904,11544568,1619165,9223372036854776000,0,0,0,188560,14532416,258890584,271581184,8192,0,0,0,0
279.270468,27232,0,1000,245,3,261980,32546,57647104,22974464,20170000,1875165,9223372036854776000,0,0,0,188560,22548584,250273400,271581184,8192,0,0,0,0
212.589242,27548,0,1504,230,11,211250,27404,57495552,22970368,19220976,2131165,9223372036854776000,0,0,0,188560,22147872,251216088,271581184,8192,0,0,0,0
260.54324,26228,0,1504,258,5,227851,44924,59928576,25022464,22386448,2131165,9223372036854776000,0,0,0,188560,24638496,248058416,271581184,8192,0,0,0,0
366.701992,35892,0,2000,319,3,342404,37219,68214784,32866304,29601048,2387165,9223372036854776000,0,0,0,58864,32497024,240845200,271581184,8192,0,0,0,0
258.562695,27404,0,1504,244,4,229844,29374,57327616,22446080,19743992,2131165,9223372036854776000,0,0,0,188560,22021192,250695824,271581184,8192,0,0,0,0
343.258869,25216,0,504,261,10,298543,45980,59359232,25145344,21853008,1619165,9223372036854776000,0,0,0,188832,24723184,248386680,271581184,8192,0,0,0,0
313.569869,25356,0,504,254,5,264083,46874,59543552,25591808,22035136,1619165,9223372036854776000,0,0,0,188832,24982856,248200576,271581184,8192,0,0,0,0
222.351043,24064,0,1000,232,3,189836,47330,58531840,23748608,20943424,1875165,9223372036854776000,0,0,0,188560,23321992,249499304,271581184,8192,0,0,0,0
372.531329,31464,0,2000,341,9,310283,59518,65765376,30547968,26891064,2387165,9223372036854776000,0,0,0,58864,30115368,243555168,271581184,8192,0,0,0,0
301.647854,28840,0,2000,269,9,276881,40004,63197184,27971584,25307320,2395357,9223372036854776000,0,0,0,188560,27587344,245131784,271581184,8192,0,0,0,0
213.891283,24420,0,1000,212,1,206449,22876,58662912,23748608,20944384,1875165,9223372036854776000,0,0,0,188560,23372064,249499064,271581184,8192,0,0,0,0
210.130269,25256,0,1000,153,6,189243,29921,59449344,25137152,21032928,1875165,9223372036854776000,0,0,0,188560,24310304,249399664,271581184,8192,0,0,0,0
172.251765,18368,0,504,124,5,156326,30232,48824320,14831616,11350264,1627357,9223372036854776000,0,0,0,188560,14419048,259089048,271581184,8192,0,0,0,0
364.059989,35700,0,1504,330,15,318247,40792,70410240,35721216,32221056,2131165,9223372036854776000,0,0,0,58864,35110984,238219448,271581184,8192,0,0,0,0
426.824442,39380,0,2000,397,10,396552,41792,71430144,36343808,33265216,2387165,9223372036854776000,0,0,0,58864,35908496,237179544,271581184,8192,0,0,0,0
322.834441,26540,0,1504,265,8,292903,37704,59899904,25022464,22452680,2131165,9223372036854776000,0,0,0,188560,24594440,247992152,271581184,8192,0,0,0,0
367.558649,35976,0,2000,340,11,319086,52491,68038656,32866304,29145424,2395357,9223372036854776000,0,0,0,58864,32417368,241298808,271581184,8192,0,0,0,0
349.999653,36020,0,1504,327,10,316932,40755,70500352,35459072,32418088,2131165,9223372036854776000,0,0,0,58864,35021728,238019520,271581184,8192,0,0,0,0
375.3348,36096,0,2000,300,9,336915,53581,68186112,33128448,29143936,2387165,9223372036854776000,0,0,0,58864,32517680,241301992,271581184,8192,0,0,0,0
410.769094,39524,0,2000,395,11,363127,53581,71622656,36343808,33330432,2395357,9223372036854776000,0,0,0,58864,35937264,237115088,271581184,8192,0,0,0,0
402.827509,39336,0,2000,380,10,365302,54062,71651328,36343808,33330552,2387165,9223372036854776000,0,0,0,58864,35972584,237116056,271581184,8192,0,0,0,0
291.38502,24816,0,504,244,9,246861,45915,59101184,24883200,21854080,1619165,9223372036854776000,0,0,0,188832,24561408,248384000,271581184,8192,0,0,0,0
337.199335,35780,0,2000,341,5,301629,60864,68263936,32866304,29865176,2395357,9223372036854776000,0,0,0,58864,32448856,240577816,271581184,8192,0,0,0,0
316.022769,25256,0,504,257,8,276920,38488,59568128,25145344,21852528,1619165,9223372036854776000,0,0,0,188832,24733728,248386552,271581184,8192,0,0,0,0
276.747257,26316,0,1504,272,5,260507,35524,59850752,25022464,22452792,2131165,9223372036854776000,0,0,0,188560,24588296,247991040,271581184,8192,0,0,0,0
323.316432,29088,0,2000,289,4,302109,38349,63291392,27971584,25109168,2387165,9223372036854776000,0,0,0,188560,27556840,245332680,271581184,8192,0,0,0,0
330.943253,32384,0,1504,255,5,292711,35190,66908160,31981568,28883688,2131165,9223372036854776000,0,0,0,188560,31552592,241558496,271581184,8192,0,0,0,0
281.534481,27068,0,1000,226,3,250663,48535,57659392,22974464,19713264,1883357,9223372036854776000,0,0,0,188560,22580960,250731504,271581184,8192,0,0,0,0
268.57457,27076,0,1000,252,7,267630,17244,57839616,22974464,20040776,1883357,9223372036854776000,0,0,0,188560,22541888,250404832,271581184,8192,0,0,0,0
288.904831,25144,0,504,262,4,270727,29730,59281408,25145344,21854136,1619165,9223372036854776000,0,0,0,188832,24715528,248385256,271581184,8192,0,0,0,0
345.653072,31136,0,2000,322,5,289935,56514,65814528,30547968,27151728,2387165,9223372036854776000,0,0,0,58864,30175224,243290672,271581184,8192,0,0,0,0
300.507109,32568,0,1504,273,7,248305,48839,66998272,31981568,28557664,2139357,9223372036854776000,0,0,0,188560,31579328,241884232,271581184,8192,0,0,0,0
314.688629,32232,0,1504,281,3,259843,54466,66916352,31981568,29014872,2131165,9223372036854776000,0,0,0,188560,31623360,241426232,271581184,8192,0,0,0,0
321.07785,30344,0,1000,245,7,303688,37322,61108224,26451968,23440984,1875165,9223372036854776000,0,0,0,58864,26019416,247002896,271581184,8192,0,0,0,0
245.787161,24020,0,1000,188,6,212124,32159,58363904,24010752,20944600,1883357,9223372036854776000,0,0,0,188560,23414816,249494032,271581184,8192,0,0,0,0
359.649943,31196,0,2000,284,7,295380,61036,65581056,30547968,27087952,2395357,9223372036854776000,0,0,0,58864,30116536,243357776,271581184,8192,0,0,0,0
365.085022,30548,0,1000,279,16,330652,33641,60940288,26451968,23440552,1875165,9223372036854776000,0,0,0,58864,26046392,247004632,271581184,8192,0,0,0,0
366.343436,35872,0,1504,355,8,349196,37575,70361088,35459072,32417872,2131165,9223372036854776000,0,0,0,58864,35034216,238024648,271581184,8192,0,0,0,0
213.637681,21952,0,504,195,1,205634,20813,55758848,21667840,18376208,1619165,9223372036854776000,0,0,0,188832,21232088,251858696,271581184,8192,0,0,0,0
277.122015,26308,0,1504,233,5,270682,23467,59879424,25022464,22385944,2131165,9223372036854776000,0,0,0,188560,24610336,248057480,271581184,8192,0,0,0,0
234.316106,23980,0,1000,208,10,225968,24710,58388480,23748608,20485704,1875165,9223372036854776000,0,0,0,188560,23351800,249957688,271581184,8192,0,0,0,0
372.394012,31120,0,2000,311,18,344928,42621,65441792,30547968,27087192,2387165,9223372036854776000,0,0,0,58864,30150480,243358880,271581184,8192,0,0,0,0
402.353143,35840,0,2000,339,14,359361,59898,67805184,32866304,29145336,2387165,9223372036854776000,0,0,0,58864,32437120,241295864,271581184,8192,0,0,0,0
222.36003,27352,0,1504,228,5,213388,20784,57348096,22446080,18959840,2131165,9223372036854776000,0,0,0,188560,22033384,251482936,271581184,8192,0,0,0,0
276.955858,32616,0,1504,255,6,253448,42214,67104768,32243712,28818656,2131165,9223372036854776000,0,0,0,188560,31645816,241622000,271581184,8192,0,0,0,0
205.864916,25176,0,1000,156,3,179387,25569,59338752,25137152,21359456,1875165,9223372036854776000,0,0,0,188560,24311200,249073136,271581184,8192,0,0,0,0
325.861998,31320,0,2000,341,5,304159,37985,65855488,30547968,27806216,2387165,9223372036854776000,0,0,0,58864,30185824,242638872,271581184,8192,0,0,0,0
214.467739,22304,0,504,136,1,194096,35660,56700928,22966272,19163696,1619165,9223372036854776000,0,0,0,188832,22103112,251072760,271581184,8192,0,0,0,0
320.38547,27192,0,1000,206,13,287456,31143,57462784,22974464,19975224,1875165,9223372036854776000,0,0,0,188560,22541984,250469576,271581184,8192,0,0,0,0
376.211876,31360,0,2000,345,10,350672,37429,65830912,30547968,27022352,2395357,9223372036854776000,0,0,0,58864,30165408,243423272,271581184,8192,0,0,0,0
377.850248,36068,0,1504,315,8,315016,65755,70619136,35721216,32483848,2131165,9223372036854776000,0,0,0,58864,35118168,237955232,271581184,8192,0,0,0,0
228.869522,25020,0,1000,149,5,220850,19352,59449344,24875008,21818248,1883357,9223372036854776000,0,0,0,188560,24311288,248610592,271581184,8192,0,0,0,0
385.167184,36040,0,1504,322,5,327056,71543,70545408,35459072,32220104,2131165,9223372036854776000,0,0,0,58864,35052952,238221584,271581184,8192,0,0,0,0
416.399995,35952,0,2000,333,6,356367,59283,67960832,32866304,29470256,2387165,9223372036854776000,0,0,0,58864,32435952,240975360,271581184,8192,0,0,0,0
294.011262,26916,0,1000,242,7,250718,49755,57683968,22974464,19647376,1875165,9223372036854776000,0,0,0,188560,22536976,250798032,271581184,8192,0,0,0,0
