duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
383.787966,39236,0,0,406,20,392841,39490,73535488,28778496,18920056,1250992,354156544,354418687,354287616,0,195448,27695208,530162104,549453824,726192,0,0,0,0
308.425034,36804,0,0,232,12,311760,46219,71467008,28778496,18564976,1242686,281542656,281804799,281673728,0,195448,27652656,530446008,549453824,8192,0,0,0,0
346.266063,38580,0,0,411,6,360516,24467,73949184,28516352,19688464,1250083,312999936,313262079,313131008,0,195448,27659272,529443488,549453824,791440,0,0,0,0
358.787856,37664,0,0,274,27,336327,28445,71856128,28254208,18295312,1240176,59932672,257163263,158523392,98574336,195448,27614776,530999096,549453824,8192,0,0,0,0
326.382105,37136,0,0,273,9,301085,53101,71983104,28778496,19915984,1258291,292552704,292814847,292683776,0,195448,26591656,529147872,549453824,1472728,0,0,0,0
303.521213,37252,0,0,404,6,266542,42329,71639040,29040640,18235624,1240176,61210624,218234879,139698176,78471168,195448,27674056,530665960,549453824,8192,0,0,0,0
339.566633,38860,0,0,240,7,343369,40396,72785920,28254208,18857208,1250992,312213504,312475647,312344576,0,195448,27296664,530281904,549453824,1571576,0,0,0,0
384.264411,38408,0,0,256,9,382350,18518,73048064,28254208,19686760,1250055,67633152,287309823,177422336,109756416,195448,27308048,529427248,549453824,1111000,0,0,0,0
391.441694,37552,0,0,343,7,393194,22262,72294400,28516352,19374016,1250129,358875136,359137279,359006208,0,195448,27336960,529771872,549453824,1250200,0,0,0,0
406.874792,38576,0,0,241,8,396874,27580,72978432,28254208,18737528,1250966,382205952,382468095,382337024,0,195448,27553392,530373216,549453824,1601912,0,0,0,0
327.363621,37408,0,0,253,12,309855,38345,71839744,28778496,18246272,1240176,57901056,235929599,146890752,88973312,195448,27664640,530942496,549453824,8192,0,0,0,0
385.484389,38116,0,0,334,12,369236,32285,72687616,28778496,19484912,1258282,355991552,356253695,356122624,0,195448,27482328,529516968,549453824,1237944,0,0,0,0
384.209134,39156,0,0,327,24,365307,47339,73134080,28254208,18982336,1242927,354942976,355205119,355074048,0,195448,27367456,530126968,549453824,774680,0,0,0,0
