duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
407.019228,39184,0,0,455,12,368253,45207,58757120,15544320,12152656,1345477,207093760,207224831,207159296,0,224184,15252264,259344000,271581184,8192,0,0,0,0
318.585565,36848,0,0,277,9,301752,36866,70651904,27791360,25164488,1379052,192544768,192675839,192610304,0,271456,27316248,247099448,271581184,8192,0,0,0,0
445.41318,37552,0,0,423,12,398652,43476,64839680,20807680,16267992,1345477,230948864,231079935,231014400,0,224184,20390816,255006280,271581184,8192,0,0,0,0
372.604624,36624,0,0,321,6,337304,31638,57991168,14909440,8960800,1389354,39124992,197394431,118235136,79093760,224184,14412024,263544944,271581184,8192,0,0,0,0
495.479688,40060,0,0,427,7,431949,59625,58683392,15020032,11891680,1345477,268304384,268435455,268369920,0,224184,14725816,259600528,271581184,8192,0,0,0,0
527.829356,39632,0,0,481,10,489088,32095,61464576,18497536,15942808,1345477,206831616,206962687,206897152,0,125640,18140400,255553656,271581184,8192,0,0,0,0
542.97867,37192,0,0,537,19,503169,66432,62439424,19021824,15288824,1345477,276299776,276561919,276430848,0,125640,18772648,256208224,271581184,8192,0,0,0,0
411.721803,36248,0,0,373,7,363252,55531,63889408,21331968,16660792,1345477,10092544,216399871,61666304,89297630.34861572,224184,20769192,254829192,271581184,8192,0,0,0,0
461.327026,37768,0,0,429,13,426837,40636,59060224,15544320,12217752,1345477,248250368,248381439,248315904,0,224184,15208480,259281376,271581184,8192,0,0,0,0
581.444201,40080,0,0,499,18,565856,38241,62664704,18759680,15618328,1345477,258473984,258605055,258539520,0,125640,18424240,255876624,271581184,8192,0,0,0,0
640.628894,40860,0,0,519,18,583529,54555,63459328,19021824,15289400,1345477,315621376,315883519,315752448,0,125640,18718536,256209656,271581184,8192,0,0,0,0
497.638624,37240,0,0,525,15,471256,48877,62017536,19021824,15093816,1345477,228327424,228458495,228392960,0,125640,18665040,256404896,271581184,8192,0,0,0,0
358.655507,36384,0,0,260,8,344473,16312,70422528,27869184,25038312,1389471,236978176,237109247,237043712,0,271456,27182904,247095832,271581184,8192,0,0,0,0
438.79664,37984,0,0,392,12,417849,19879,65064960,20807680,16268048,1345477,10133504,239337471,124704768,114567168,224184,20145272,255221248,271581184,8192,0,0,0,0
510.430528,37340,0,0,473,11,506133,23893,59412480,15806464,12283856,1345477,268697600,268959743,268828672,0,224184,15402712,259213600,271581184,8192,0,0,0,0
477.572683,39628,0,0,413,10,433773,54604,58814464,15544320,12282744,1345477,246284288,246415359,246349824,0,224184,15044648,259216176,271581184,8192,0,0,0,0
440.388789,38444,0,0,372,7,427372,39837,67436544,22642688,16791344,1345477,268042240,268173311,268107776,0,224184,22141504,254696848,271581184,8192,0,0,0,0
521.745829,40308,0,0,494,19,496546,44074,59953152,15806464,11825872,1345477,275775488,276037631,275906560,0,224184,15323704,259670256,271581184,8192,0,0,0,0
512.010854,39636,0,0,468,14,449376,68817,58548224,15282176,12563936,1345477,223739904,223870975,223805440,0,224184,14958712,258934568,271581184,8192,0,0,0,0
420.126008,39376,0,0,400,6,405129,39260,58740736,15282176,11640320,1345477,192544768,192675839,192610304,0,224184,14975648,259858048,271581184,8192,0,0,0,0
466.946004,37036,0,0,377,14,443268,40575,67399680,23953408,16792352,1345477,249167872,249298943,249233408,0,224184,23249888,254692080,271581184,8192,0,0,0,0
363.638455,36520,0,0,244,9,352884,23548,70352896,27471872,24868184,1389354,239337472,239468543,239403008,0,271456,27001432,247328888,271581184,8192,0,0,0,0
439.140817,39532,0,0,452,7,396954,45542,58855424,15544320,11639128,1345477,219283456,219414527,219348992,0,224184,15166696,259859144,271581184,8192,0,0,0,0
380.170181,36468,0,0,263,13,366583,26630,70139904,27607040,24996760,1389354,255459328,255590399,255524864,0,271456,27140304,247276536,271581184,8192,0,0,0,0
402.754552,40024,0,0,360,15,375454,43260,61288448,17629184,13356504,1345477,207093760,207224831,207159296,0,224184,17139008,257932216,271581184,8192,0,0,0,0
551.701802,37992,0,0,546,12,509477,43145,62844928,18497536,15945160,1345477,242352128,242483199,242417664,0,125640,18248848,255548952,271581184,8192,0,0,0,0
473.399961,39560,0,0,522,11,446196,45153,62320640,19021824,15747864,1345477,230555648,230686719,230621184,0,125640,18756488,255751928,271581184,8192,0,0,0,0
468.737039,39576,0,0,506,11,419409,61448,62062592,19021824,15356120,1345477,207486976,207618047,207552512,0,125640,18520352,256142000,271581184,8192,0,0,0,0
484.003496,36988,0,0,457,9,458408,42543,58732544,15282176,12478968,1345477,245235712,245366783,245301248,0,224184,14977608,259017944,271581184,8192,0,0,0,0
490.696387,39416,0,0,478,14,462560,37750,62013440,18759680,15354272,1345477,230031360,230162431,230096896,0,125640,18418336,256141696,271581184,8192,0,0,0,0
458.532243,39276,0,0,496,13,437931,55676,62586880,19283968,15421688,1345477,203685888,203816959,203751424,0,125640,18981096,256076784,271581184,8192,0,0,0,0
606.43323,36880,0,0,511,12,566931,51033,62214144,19021824,15944944,1345477,286523392,286785535,286654464,0,125640,18654424,255554712,271581184,8192,0,0,0,0
618.170784,36880,0,0,466,15,558844,77279,62103552,18759680,15225064,1345477,289669120,289931263,289800192,0,125640,18446416,256272208,271581184,8192,0,0,0,0
471.87941,39196,0,0,410,11,404417,58851,58871808,15282176,11760560,1345477,253624320,253755391,253689856,0,224184,14943856,259735696,271581184,8192,0,0,0,0
314.423923,36568,0,0,264,9,310270,21176,70328320,27471872,24852440,1379052,187564032,187695103,187629568,0,271456,27002552,247308416,271581184,8192,0,0,0,0
478.26523,39184,0,0,461,13,444779,59379,60911616,15282176,11639592,1345477,230293504,230424575,230359040,0,224184,15026648,259851552,271581184,8192,0,0,0,0
503.610755,37908,0,0,474,16,471161,56011,59387904,15282176,12218264,1345477,278396928,278659071,278528000,0,224184,14992504,259278880,271581184,8192,0,0,0,0
556.373678,37912,0,0,521,9,484804,65860,63381504,19021824,15290704,1345477,240648192,240779263,240713728,0,125640,18693496,256203344,271581184,8192,0,0,0,0
421.709696,37744,0,0,265,8,397176,35038,71622656,27734016,24955936,1396742,281280512,281542655,281411584,0,271456,27070504,247166280,271581184,8192,0,0,0,0
302.432876,36448,0,0,272,7,297706,18215,70393856,27791360,25163904,1379052,37486592,171442175,104439808,66936832,271456,27272816,246982400,271581184,8192,0,0,0,0
508.8862,38676,0,0,494,8,477946,56647,60272640,15282176,12189672,1345477,264503296,264634367,264568832,0,224184,15032272,259307880,271581184,8192,0,0,0,0
555.436876,38832,0,0,543,13,529823,57739,63918080,18759680,15319200,1345477,210239488,210370559,210305024,0,125640,18488824,256179616,271581184,8192,0,0,0,0
389.131419,38072,0,0,347,9,384601,31433,57831424,13598720,8698752,1396755,237371392,237502463,237436928,0,224184,12939056,263809568,271581184,8192,0,0,0,0
443.800314,39756,0,0,398,5,428005,42537,58777600,15282176,11694248,1345477,217710592,217841663,217776128,0,224184,15017184,259802488,271581184,8192,0,0,0,0
369.465382,36504,0,0,261,7,337460,46349,70352896,27869184,24998256,1397546,227409920,227540991,227475456,0,271456,27141824,247236304,271581184,8192,0,0,0,0
428.18333,36428,0,0,386,9,415958,19611,63844352,21069824,15940392,1345477,264765440,264896511,264830976,0,224184,20540912,255548008,271581184,8192,0,0,0,0
540.791673,37880,0,0,511,19,512926,64053,62746624,18759680,15159592,1345477,266469376,266600447,266534912,0,125640,18510448,256338728,271581184,8192,0,0,0,0
523.570837,40100,0,0,429,13,502357,55368,58568704,15282176,12611512,1345477,282329088,282591231,282460160,0,224184,14967296,258884400,271581184,8192,0,0,0,0
488.203368,36352,0,0,347,16,445851,57630,63819776,20807680,16530016,1345477,276037632,276299775,276168704,0,224184,20401720,254959096,271581184,8192,0,0,0,0
429.924879,36960,0,0,236,10,425717,24790,70926336,27734016,24948176,1396704,286785536,287047679,286916608,0,271456,27097440,247244440,271581184,8192,0,0,0,0
421.915439,36916,0,0,359,10,403733,47973,56492032,13598720,8567720,1389486,225837056,225968127,225902592,0,224184,12884560,263940712,271581184,8192,0,0,0,0
545.384967,37900,0,0,466,13,483777,81036,59256832,15282176,12479584,1345477,277348352,277610495,277479424,0,224184,14957728,259015920,271581184,8192,0,0,0,0
546.79251,38248,0,0,511,13,495841,51483,62959616,18497536,16010112,1345477,234094592,234225663,234160128,0,125640,18248904,255485624,271581184,8192,0,0,0,0
328.395556,36212,0,0,247,6,329177,18586,69980160,27471872,24852912,1379052,199622656,199753727,199688192,0,271456,26886760,247360272,271581184,8192,0,0,0,0
