duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
484.221789,44084,0,0,432,17,484450,60958,76345344,36511744,18384232,1199259,9748480,253231103,92279603.2,90655984.47306462,196848,31438416,1079983368,1098907648,8192,0,0,0,0
560.095356,58904,0,0,292,14,485095,72683,93974528,50937856,33308496,1201523,51904512,257818623,175510869.33333334,88971719.95588395,196848,49325224,1064887784,1098907648,8192,0,0,0,0
620.402578,58284,0,0,521,22,578642,34651,93491200,48840704,33408400,1213139,10100736,255459327,82707602.28571428,104446756.86725603,196848,48057856,1064914696,1098907648,8192,0,0,0,0
478.003598,43768,0,0,703,25,455530,37618,75939840,32317440,19003272,1194309,39223296,213516287,113176576,65889453.64770031,196848,31950592,1079444912,1098907648,8192,0,0,0,0
524.257829,44868,0,0,438,19,495819,41136,78020608,36249600,18316200,1196496,9322496,227409919,122156032,84846344.37869681,196848,33686912,1080142472,1098907648,8192,0,0,0,0
606.615796,59040,0,0,354,28,569139,52083,94597120,48054272,34375944,1213288,284164096,293339135,288751616,4456448,196848,47066568,1063992176,1098907648,923992,0,0,0,0
477.512292,58764,0,0,293,11,446610,42101,93519872,48054272,33820568,1200262,202244096,249692159,225968128,23658496,196848,47339392,1064477392,1098907648,1348504,0,0,0,0
471.845138,44276,0,0,439,28,458462,53257,77848576,32317440,19652496,1206996,57737216,259129343,146620416,83858377.29236776,196848,31744656,1078828952,1098907648,963768,0,0,0,0
611.604803,59164,0,0,313,26,581716,49279,94932992,47267840,34549680,1213214,286523392,295960575,291241984,4587520,196848,46651464,1063897816,1098907648,1702184,0,0,0,0
483.764565,57188,0,0,734,18,468242,43307,92127232,48840704,33320336,1201518,205389824,239337471,222363648,16908288,196848,47965328,1064861816,1098907648,8192,0,0,0,0
529.673369,60836,0,0,302,33,538923,35188,95899648,50151424,33906072,1207645,216662016,284426239,250511360,33783808,196848,48745304,1064231464,1098907648,8192,0,0,0,0
393.51466,46560,0,0,371,10,385446,62093,68182016,23920640,3994336,1191022,123797504,242614271,183189504,59359232,196848,23183768,1094760720,1098907648,8192,0,0,0,0
500.374131,57648,0,0,383,13,445113,57085,92557312,49364992,33010568,1200040,201588736,271319039,236421120,34766848,196848,48486496,1065323376,1098907648,8192,0,0,0,0
533.913134,58648,0,0,385,15,520662,45096,93265920,47792128,33866248,1212277,218497024,287834111,253132800,34570240,196848,47098504,1064517640,1098907648,1381272,0,0,0,0
520.080589,59676,0,0,383,17,499428,50805,94101504,49364992,33923736,1211974,222560256,271843327,247169024,24543232,196848,48326680,1064282888,1098907648,1337200,0,0,0,0
458.980269,59940,0,0,615,19,429443,60149,95408128,50937856,32801928,1213186,183631872,254541823,219086848,35389440,196848,49474448,1065585216,1098907648,8192,0,0,0,0
428.732244,44400,0,0,540,13,414386,29415,75866112,32055296,18665704,1192741,47185920,247988223,136265728,83486601.87924102,196848,31735536,1079830368,1098907648,8192,0,0,0,0
548.738718,60384,0,0,465,21,519518,46843,95768576,48578560,33894024,1212152,46956544,243531775,171851776,88619886.2835234,196848,47556312,1064528712,1098907648,970928,0,0,0,0
526.921125,58704,0,0,256,31,493813,61323,93786112,48578560,33049032,1199225,222560256,276561919,249528320,26902528,196848,47612736,1065331240,1098907648,8192,0,0,0,0
573.504432,59184,0,0,289,24,504234,75393,94507008,48054272,33902880,1207759,10092544,277610495,78564205.71428572,109227081.20650586,196848,47413584,1064490576,1098907648,1194208,0,0,0,0
422.086391,45324,0,0,454,8,387351,52623,68096000,23920640,3995616,1191258,166461440,217055231,191758336,25231360,196848,23327576,1094811440,1098907648,8192,0,0,0,0
518.30184,58832,0,0,380,19,463896,52333,94330880,48054272,33870528,1207627,10108928,225574911,97240678.4,100266311.96391968,196848,47488544,1064461096,1098907648,1348504,0,0,0,0
512.891311,59520,0,0,312,14,483740,56263,94547968,49889280,34452688,1206192,234618880,249561087,242089984,7405568,196848,48443472,1063860024,1098907648,1611672,0,0,0,0
404.593112,51060,0,0,284,12,412544,28498,86093824,43335680,33694856,1200022,161873920,210239487,186056704,24117248,196848,41981968,1064656824,1098907648,8192,0,0,0,0
