duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
409.815261,37588,0,0,396,13,388070,41740,65404928,21069824,16725736,1345477,238551040,238682111,238616576,0,224504,20365472,254761272,271581184,8192,0,0,0,0
468.043025,39896,0,0,507,10,429373,48722,63193088,18759680,15223904,1345477,224264192,224395263,224329728,0,125960,18475104,256272056,271581184,8192,0,0,0,0
570.662323,38588,0,0,519,16,550984,45930,64737280,18759680,16010336,1345477,247070720,247201791,247136256,0,125960,18413416,255486632,271581184,8192,0,0,0,0
487.93559,37468,0,0,474,14,434353,51529,59924480,15282176,12151328,1345477,204865536,204996607,204931072,0,224504,14972952,259344752,271581184,8192,0,0,0,0
351.625103,37244,0,0,355,8,339787,22297,57917440,13598720,8370944,1397116,219938816,220069887,220004352,0,224504,13113304,263122952,271581184,8192,0,0,0,0
514.738457,39816,0,0,461,13,472159,59471,60841984,15282176,11759864,1345477,219676672,219807743,219742208,0,224504,14977936,259731624,271581184,8192,0,0,0,0
585.771487,38596,0,8,434,13,548633,56467,64946176,19021824,15487240,1345477,254672896,254803967,254738432,0,125960,18645456,256012096,271581184,8192,0,0,0,0
406.130747,38976,0,8,341,7,386926,33113,59445248,13860864,8895864,1392155,259915776,260046847,259981312,0,224504,13203760,263612848,271581184,8192,0,0,0,0
584.202053,38156,0,8,479,19,550345,44371,60391424,15282176,11709648,1345477,278396928,278659071,278528000,0,224504,15030928,259788856,271581184,8192,0,0,0,0
403.103474,39472,0,0,462,10,393907,34911,59535360,15544320,12349176,1345477,226754560,226885631,226820096,0,224504,15220624,259148128,271581184,8192,0,0,0,0
366.75409,36964,0,0,273,12,355693,23081,67559424,14123008,8129368,1388794,244580352,244711423,244645888,0,271776,27207304,246948120,271581184,8192,0,0,0,0
375.954908,40224,0,0,378,9,361093,35290,62304256,18415616,13225248,1345477,219152384,219283455,219217920,0,224504,17639864,258268800,271581184,8192,0,0,0,0
492.857192,37100,0,0,354,9,425972,70287,64806912,20807680,16267872,1345477,272367616,272629759,272498688,0,224504,20123824,255222384,271581184,8192,0,0,0,0
465.556114,40092,0,0,482,6,453232,30050,62955520,18759680,15943072,1345477,218890240,219021311,218955776,0,125960,18416432,255555224,271581184,8192,0,0,0,0
434.076043,38064,0,0,333,11,395997,29316,62558208,17268736,9091872,1387586,234881024,235012095,234946560,0,224352,16754760,263362264,271581184,8192,0,0,0,0
382.55565,37212,0,0,290,8,366874,27368,71684096,28053504,25169016,1379115,249036800,249167871,249102336,0,271776,27321040,247103304,271581184,8192,0,0,0,0
353.01619,37384,0,8,345,10,346653,33578,57614336,13336576,8764224,1388408,217579520,217710591,217645056,0,224504,12823200,263744464,271581184,8192,0,0,0,0
490.359288,40560,0,8,439,14,458205,27044,60284928,15544320,12349368,1345477,254410752,254541823,254476288,0,224504,15107192,259145504,271581184,8192,0,0,0,0
353.273197,37332,0,0,347,8,328125,37332,57511936,13336576,8371352,1379071,219283456,219414527,219348992,0,224504,12807064,263120736,271581184,8192,0,0,0,0
580.796403,41484,0,8,480,14,552945,39374,64843776,19021824,15419904,1345477,246153216,246284287,246218752,0,125960,18670392,256078056,271581184,8192,0,0,0,0
346.106098,39624,0,0,386,8,330834,35655,61861888,17891328,13226512,1345477,200671232,200802303,200736768,0,224504,17385248,258268560,271581184,8192,0,0,0,0
474.602251,39684,0,0,489,11,439840,52082,62574592,18759680,15027432,1345477,222560256,222691327,222625792,0,125808,18311184,256467008,271581184,8192,0,0,0,0
527.581822,41212,0,0,512,11,503801,28598,62758912,18497536,15114768,1345477,227803136,227934207,227868672,0,125960,18182336,256377192,271581184,8192,0,0,0,0
558.095554,38760,0,8,527,14,493531,62251,63746048,18759680,16008768,1345477,234618880,234749951,234684416,0,125960,18453136,255490240,271581184,8192,0,0,0,0
375.890537,36996,0,0,242,4,356602,28627,71516160,27869184,24999680,1397110,244056064,244187135,244121600,0,271776,27048648,246722376,271581184,8192,0,0,0,0
579.235381,38284,0,0,519,22,500751,83427,64155648,19283968,15943512,1345477,248119296,248250367,248184832,0,125960,18824224,255556224,271581184,8192,0,0,0,0
370.015439,36728,0,0,314,14,343658,29110,65957888,22380544,16530136,1345477,227409920,227540991,227475456,0,224504,21756672,254954272,271581184,8192,0,0,0,0
513.497621,38164,0,0,500,10,480901,50802,63168512,18497536,15762168,1345477,247857152,247988223,247922688,0,125960,18232352,255731288,271581184,8192,0,0,0,0
420.568934,37276,0,0,460,9,415725,29947,59285504,15282176,12152792,1345477,215875584,216006655,215941120,0,224504,14978280,259316112,271581184,8192,0,0,0,0
511.104805,41464,0,8,485,14,479474,43330,61239296,15544320,12611368,1345477,221642752,221773823,221708288,0,224504,15110248,258885712,271581184,8192,0,0,0,0
519.576,38004,0,8,514,10,502327,34942,63950848,19021824,15224768,1345477,247463936,247595007,247529472,0,125960,18620896,256270528,271581184,8192,0,0,0,0
394.397155,36840,0,0,375,6,354783,66467,65818624,21856256,16594872,1345477,239599616,239730687,239665152,0,224504,21099496,254894768,271581184,8192,0,0,0,0
429.012206,37676,0,0,323,15,402232,23544,58519552,13598720,8961072,1387288,226623488,226754559,226689024,0,224504,13068136,263545912,271581184,8192,0,0,0,0
563.592705,40100,0,0,477,10,514488,47230,63057920,19021824,15224968,1345477,266338304,266469375,266403840,0,125960,18436296,256273912,271581184,8192,0,0,0,0
449.301349,38160,0,0,468,13,424472,33806,60047360,15544320,11825928,1345477,228327424,228458495,228392960,0,224352,15207104,259672280,271581184,8192,0,0,0,0
403.382572,36860,0,0,233,6,378304,42038,71540736,27471872,24927272,1387619,247726080,247857151,247791616,0,271776,26953520,247291704,271581184,8192,0,0,0,0
542.476875,37944,0,0,461,11,502254,63794,63504384,19021824,15356312,1345477,268697600,268959743,268828672,0,125960,18649120,256141512,271581184,8192,0,0,0,0
407.220749,37924,0,8,404,16,402460,26631,65937408,21069824,16464696,1345477,267255808,267386879,267321344,0,224504,20348992,255025568,271581184,8192,0,0,0,0
455.727615,39996,0,0,424,7,465652,20438,59572224,15544320,12610120,1345477,233832448,233963519,233897984,0,224504,15195032,258888312,271581184,8192,0,0,0,0
479.795135,37756,0,8,244,11,469884,22663,72400896,27734016,24955880,1400738,315883520,316145663,316014592,0,271776,27101496,247154344,271581184,8192,0,0,0,0
523.83651,39904,0,0,507,13,482050,60042,63152128,18759680,15093424,1345477,253493248,253624319,253558784,0,125960,18495000,256402576,271581184,8192,0,0,0,0
355.771038,36820,0,0,256,6,353686,19967,71139328,27607040,24998296,1388573,240648192,240779263,240713728,0,271776,27124624,247251672,271581184,8192,0,0,0,0
410.858559,39996,0,0,383,5,371443,39418,61792256,17891328,13029832,1345477,217710592,217841663,217776128,0,224504,17160992,258464648,271581184,8192,0,0,0,0
399.067669,39448,0,8,341,11,369315,52038,60289024,13598720,8633368,1395177,247070720,247201791,247136256,0,224504,13067368,263872032,271581184,8192,0,0,0,0
545.990674,41240,0,0,502,10,512143,42655,63922176,18759680,15355712,1345477,230031360,230162431,230096896,0,125960,18448232,256141344,271581184,8192,0,0,0,0
421.983819,38152,0,0,374,5,409010,45663,65667072,20807680,16333288,1345477,265158656,265289727,265224192,0,224504,20086048,255157400,271581184,8192,0,0,0,0
391.840472,44292,0,0,343,5,354369,38537,68706304,25112576,19689056,1345477,189005824,189136895,189071360,0,224504,24347160,251802368,271581184,8192,0,0,0,0
444.537717,40332,0,0,505,7,424098,45166,62812160,18759680,15813400,1345477,193593344,193724415,193658880,0,125960,18240456,255681680,271581184,8192,0,0,0,0
473.60147,41720,0,0,469,7,446953,44218,61911040,15544320,11824824,1345477,248643584,248774655,248709120,0,224504,15036192,259670592,271581184,8192,0,0,0,0
520.794889,38264,0,0,514,12,486687,34891,62681088,18759680,15877704,1345477,214695936,214827007,214761472,0,125808,18158120,255620784,271581184,8192,0,0,0,0
441.867641,37904,0,8,315,9,420023,16019,58306560,13336576,9092024,1386992,225312768,225443839,225378304,0,224504,12875136,263417112,271581184,8192,0,0,0,0
343.208929,36696,0,0,246,6,313962,40626,71237632,27869184,24991568,1379356,201981952,202113023,202047488,0,271776,27137160,246918680,271581184,8192,0,0,0,0
505.02799,37792,0,0,439,15,445011,63226,59392000,15282176,12022704,1345477,255328256,255459327,255393792,0,224504,14830256,259474048,271581184,8192,0,0,0,0
492.358454,50844,0,0,474,14,432390,82433,63324160,19283968,15789776,1345477,198705152,198836223,198770688,0,224504,18930656,255707760,271581184,8192,0,0,0,0
