duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
492.096005,46668,0,0,421,16,457090,42584,81334272,38748160,33114856,1233102,136577024,288882687,212697088,76054528,201760,38228576,515913848,549453824,8192,0,0,0,0
549.950389,50616,0,8,617,25,559912,46344,85594112,42418176,32788720,1241135,176160768,341835775,258965504,82739200,200984,41337784,515799672,549453824,8192,0,0,0,0
470.343376,47064,0,0,388,33,479993,37683,82034688,38748160,33171096,1234892,109510656,335020031,222216192,112672768,201760,38124144,515814544,549453824,8192,0,0,0,0
669.625492,53084,0,8,484,24,630619,63808,88113152,42418176,33056496,1212799,10117120,351535103,126473011.2,131916996.00358906,201760,41653504,516001920,549453824,2135536,0,0,0,0
636.55876,52872,0,16,491,16,627315,50427,88305664,42418176,33249584,1207787,289144832,304087039,296615936,7340032,200984,41350880,516046496,549453824,2332768,0,0,0,0
471.172883,47080,0,0,490,14,469626,38528,81915904,38748160,33133904,1234957,95944704,337903615,216875008,120897536,201760,38205776,515862448,549453824,8192,0,0,0,0
681.038563,53192,0,8,492,23,684665,24337,87986176,42156032,32966768,1212744,10133504,338165759,214929408,145793556.60714462,201760,41525744,516042952,549453824,1003696,0,0,0,0
597.151866,52692,0,8,482,20,584007,57951,86671360,42156032,33004104,1247991,83296256,287047679,188973056,83292453.17519094,201760,41343224,515982072,549453824,8192,0,0,0,0
736.133811,52688,0,8,514,28,675395,71185,87711744,42418176,33318624,1212945,298319872,330825727,314572800,16121856,201128,41542136,515672040,549453824,2102840,0,0,0,0
459.850264,48152,0,0,479,12,488312,17914,82149376,38748160,33272688,1236046,99352576,327155711,213204992,113819648,201128,38323808,515691248,549453824,8192,0,0,0,0
452.72179,46908,0,8,643,14,449403,50429,61591552,18022400,4026040,1199167,55312384,220856319,136090965.33333334,67606944.07637727,201760,17490104,545107184,549453824,8192,0,0,0,0
586.225116,50968,0,8,600,16,538158,66208,76984320,32972800,18683232,1209362,215351296,343146495,279216128,63799296,201128,32351584,530464448,549453824,8192,0,0,0,0
478.116215,49672,0,0,740,9,448431,32181,76001280,33234944,18321080,1199695,44859392,212074495,125987498.66666667,68320101.72136107,200984,32040528,530555624,549453824,8192,0,0,0,0
557.350106,50952,0,8,500,21,566197,64940,85626880,42156032,32707360,1199483,192675840,334495743,263553024,70811648,201128,41333568,516449568,549453824,8192,0,0,0,0
665.334335,52644,0,0,374,29,630197,59484,87617536,41893888,33205264,1213574,300679168,332660735,316669952,15859712,201128,41465488,515886896,549453824,1036856,0,0,0,0
630.687514,50908,0,8,562,23,588501,52404,77484032,33234944,18443056,1209461,10125312,314048511,65223338.666666664,106354569.77454548,200984,32482360,530704808,549453824,8192,0,0,0,0
464.901823,48348,0,8,392,7,448791,51054,82817024,38486016,33201648,1235830,112263168,313262079,212713472,100417536,201128,38105984,515848552,549453824,8192,0,0,0,0
468.80103,46732,0,0,444,11,421737,69700,81711104,39010304,33116416,1233141,132907008,256770047,194822144,61882368,200984,38240056,515808784,549453824,8192,0,0,0,0
502.609951,47220,0,8,395,13,446350,66963,82161664,39010304,33158464,1234047,190840832,274464767,232620032,41713664,200984,38029288,515740256,549453824,8192,0,0,0,0
650.119159,51976,0,8,688,20,649986,56687,85778432,42418176,33632672,1212743,280494080,333971455,307232768,26607616,201760,41226288,515430032,549453824,8192,0,0,0,0
613.69797,51292,0,16,562,15,574170,77934,75735040,30351360,19510536,1212900,220463104,355467263,287932416,67403776,201760,28877728,529728752,549453824,1679080,0,0,0,0
594.372534,51576,0,8,438,30,627713,27950,86626304,42418176,32792872,1255399,188874752,375128063,281968640,93028352,201760,41748280,515490224,549453824,8192,0,0,0,0
475.102609,46628,0,0,481,18,437441,76455,81367040,38748160,33203752,1235478,124911616,316407807,220610560,95666176,201760,38222240,515670280,549453824,8192,0,0,0,0
