duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
791.638688,31144,0,0,271,5,334710,8611,65667072,21303296,18387984,1254039,9543680,261226495,15072476.862745099,34803032.90920508,202440,20641296,252750088,271581184,8192,0,0,0,0
517.390141,31768,0,0,245,11,313342,33490,64929792,21303296,18691832,1254764,10084352,225968127,18452322.46153846,41490227.3173946,202440,20669360,252494664,271581184,8192,0,0,0,0
333.534155,28400,0,0,241,3,230807,16432,62652416,20779008,18493464,1240818,9936896,204865535,27804392.727272727,55970951.20653657,202440,20209624,252724928,271581184,8192,0,0,0,0
478.775332,30508,0,8,234,9,270762,24469,64163840,21041152,18557344,1240425,9093120,247857151,20873402.181818184,49518834.79619278,202440,20461656,252684808,271581184,8192,0,0,0,0
444.028908,28364,0,0,254,2,256525,25637,62832640,20516864,18330080,1240653,9150464,211812351,19703710.476190478,42942861.118744895,202440,20040408,252912120,271581184,8192,0,0,0,0
684.305254,28608,0,0,282,8,268471,33636,63029248,21041152,18298600,1246368,9109504,254672895,16171607.414634146,37706658.34319577,202440,20313216,252828496,271581184,8192,0,0,0,0
624.245715,31868,0,0,243,9,353042,19529,64491520,21041152,18382280,1240589,10092544,289931263,19165051.870967742,49411118.591557324,202440,20588184,252821344,271581184,8192,0,0,0,0
486.238266,27960,0,0,225,6,260013,26773,62369792,20779008,18337216,1241068,10076160,251133951,21586310.095238097,51313782.563538924,202440,20001768,252970392,271581184,8192,0,0,0,0
646.627055,31376,0,8,265,7,297054,27282,64217088,21041152,18566272,1256949,9142272,214564863,16910834.162162162,33703260.72795639,202440,20546928,252693792,271581184,8192,0,0,0,0
670.092433,28792,0,0,234,8,283274,23505,63016960,20779008,18521624,1240639,10084352,230555647,15522041.75609756,33989599.16087629,202440,20103504,252951136,271581184,8192,0,0,0,0
