duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
435.040622,43332,0,504,310,10,388826,46470,77934592,33746944,25435944,1557864,287309824,287571967,287440896,0,238584,33336000,519430104,549453824,8192,0,0,0,0
483.064401,44932,0,512,390,14,440619,52845,79568896,34271232,26358912,1571154,10100736,341311487,57436452.571428575,115837998.34440145,238584,33226184,518680568,549453824,8192,0,0,0,0
439.670376,43312,0,504,380,17,381468,59693,78053376,34533376,25450552,1557604,277086208,277348351,277217280,0,238584,33531128,519519632,549453824,8192,0,0,0,0
470.6388,43160,0,504,242,21,451537,30474,77770752,33746944,25918976,1566904,307757056,308019199,307888128,0,238584,33303744,519086048,549453824,8192,0,0,0,0
504.255353,62624,0,1512,342,24,449101,65818,97779712,52797440,42909672,2086317,339738624,340000767,339869696,0,238584,51843544,502803368,549453824,8192,0,0,0,0
527.274444,65836,0,2000,454,10,486816,60333,79568896,34820096,25029880,2292347,349962240,350224383,350093312,0,208560,34329608,522375048,549453824,8192,0,0,0,0
442.745858,53124,0,1000,360,17,379278,60658,88051712,43528192,33809416,1813711,52690944,242614271,147628032,94920704,238584,43168520,511586536,549453824,8192,0,0,0,0
386.073334,43092,0,504,326,9,368026,34112,77828096,34009088,25539320,1568147,322699264,322961407,322830336,0,238584,33398760,519462344,549453824,8192,0,0,0,0
526.745755,65824,0,2000,420,16,466269,58789,79990784,34820096,25068560,2292347,286785536,287047679,286916608,0,208560,34342984,522335032,549453824,8192,0,0,0,0
457.115244,53088,0,1000,363,20,401408,54075,87969792,43528192,33785632,1821911,275775488,276037631,275906560,0,238584,43074376,511633200,549453824,8192,0,0,0,0
401.759426,52444,0,1000,314,9,364537,39614,87232512,43790336,33773176,1824135,285212672,285474815,285343744,0,238584,42301048,511648832,549453824,8192,0,0,0,0
484.835223,43944,0,504,323,19,435827,30311,78630912,34009088,26504856,1572130,348651520,348913663,348782592,0,238432,33105072,518504864,549453824,8192,0,0,0,0
437.174223,43256,0,504,310,20,401035,29927,77930496,34009088,25422488,1557720,294912000,295174143,295043072,0,238584,33463904,519541288,549453824,8192,0,0,0,0
428.857271,43340,0,504,245,14,385448,40828,77967360,34009088,25501360,1567457,298844160,299106303,298975232,0,238584,33341520,519491736,549453824,8192,0,0,0,0
494.743226,52648,0,1000,357,16,443955,52027,87560192,43790336,33963296,1828149,359923712,360185855,360054784,0,238584,42687296,511493296,549453824,8192,0,0,0,0
538.641704,55560,0,2000,466,15,490295,58240,87101440,41779200,29652856,2292347,296484864,296747007,296615936,0,208560,41392000,517752304,549453824,8192,0,0,0,0
430.608389,43340,0,504,341,15,403235,26054,78163968,34271232,25439072,1567789,277610496,277872639,277741568,0,238584,33542568,519499280,549453824,8192,0,0,0,0
547.715085,62388,0,1504,384,14,499560,60957,97718272,52535296,42915584,2078093,360710144,360972287,360841216,0,238584,52147432,502766928,549453824,8192,0,0,0,0
499.306607,43804,0,512,299,15,448459,51247,78512128,33484800,25687200,1565969,357040128,357302271,357171200,0,238584,33121848,519295792,549453824,8192,0,0,0,0
502.537871,53928,0,1000,370,18,436025,59754,88776704,43790336,33982280,1822877,342097920,342360063,342228992,0,238584,43132976,511512592,549453824,8192,0,0,0,0
386.454839,52676,0,1000,299,7,327805,58267,87547904,43266048,33815280,1823776,232259584,232390655,232325120,0,238584,42354392,511613784,549453824,8192,0,0,0,0
443.045391,43168,0,504,430,9,419325,35788,77795328,34009088,25462512,1568131,371458048,371720191,371589120,0,238584,33305168,519530272,549453824,8192,0,0,0,0
527.843278,53784,0,1000,343,12,456051,69910,88784896,43790336,33919328,1822837,378273792,378535935,378404864,0,238584,43187936,511543896,549453824,8192,0,0,0,0
542.230768,66140,0,2000,553,10,485345,66713,79650816,34295808,25028048,2292347,295174144,295436287,295305216,0,208560,33834352,522377056,549453824,8192,0,0,0,0
488.474902,44048,0,512,341,12,431151,52975,78565376,34009088,25750248,1565879,363855872,364118015,363986944,0,238584,33337176,519259024,549453824,8192,0,0,0,0
437.300381,44060,0,504,342,23,436010,16504,78708736,34009088,26034688,1571424,361496576,361758719,361627648,0,238584,32944712,518975856,549453824,8192,0,0,0,0
438.968569,42992,0,504,292,15,366225,73848,77770752,34009088,25498600,1567669,332398592,332660735,332529664,0,238584,33417632,519503672,549453824,8192,0,0,0,0
574.814894,62904,0,1504,506,23,523809,71186,97914880,53059584,42916424,2078881,376176640,376438783,376307712,0,238584,52271608,502789248,549453824,8192,0,0,0,0
566.240916,66660,0,2008,487,17,513673,48592,81121280,35082240,25029632,2292347,340262912,340525055,340393984,0,208560,34576752,522377240,549453824,8192,0,0,0,0
617.946585,65684,0,2000,520,29,570488,72305,80261120,35082240,25029800,2292347,369360896,369623039,369491968,0,208560,34488752,522375440,549453824,8192,0,0,0,0
532.100564,53844,0,1008,433,6,473997,52708,88805376,43790336,33964680,1827014,375390208,375652351,375521280,0,238584,42972096,511493416,549453824,8192,0,0,0,0
467.298087,53032,0,1000,407,16,404225,57450,88117248,43790336,33803032,1813800,301727744,301989887,301858816,0,238584,43227328,511617688,549453824,8192,0,0,0,0
453.793505,62328,0,1512,546,16,418567,50420,97595392,53059584,42845472,2078110,34078720,249430015,141729792,107634688,238584,51418736,502880688,549453824,8192,0,0,0,0
492.769874,43512,0,504,299,17,454187,34661,78270464,33746944,25643392,1574598,63406080,291241983,177266688,113844224,238584,33308760,519342040,549453824,8192,0,0,0,0
582.488156,66092,0,2000,436,19,545991,60354,80175104,34557952,25029840,2292347,338690048,338952191,338821120,0,208408,34286448,522156112,549453824,8192,0,0,0,0
478.452486,53312,0,1000,314,7,438457,48089,88342528,43790336,33820952,1831958,375652352,375914495,375783424,0,238584,43263936,511600320,549453824,8192,0,0,0,0
611.564255,66536,0,2008,513,23,548509,69243,80429056,34820096,25028320,2292347,390856704,391118847,390987776,0,208560,34143024,522380224,549453824,8192,0,0,0,0
477.213385,61980,0,1504,370,18,442995,46780,97275904,52535296,42835680,2069776,333709312,333971455,333840384,0,238584,52055032,502876480,549453824,8192,0,0,0,0
496.570555,54376,0,1008,436,15,444918,50686,89419776,44052480,33930800,1827445,339214336,339476479,339345408,0,238584,42779560,511531328,549453824,8192,0,0,0,0
577.081764,62776,0,1504,337,19,523076,60814,97923072,52797440,42917056,2078890,386924544,387186687,387055616,0,238584,52228720,502769376,549453824,8192,0,0,0,0
537.767075,55648,0,2000,481,17,468932,76249,86507520,41254912,29654280,2292347,284688384,284950527,284819456,0,208560,40909424,517747936,549453824,8192,0,0,0,0
613.586446,66536,0,2008,450,17,550273,69638,80732160,34820096,25029616,2292347,356515840,356777983,356646912,0,208560,34459144,522378688,549453824,8192,0,0,0,0
414.806346,43184,0,504,287,12,371910,43597,77737984,33746944,25457336,1557817,264765440,264896511,264830976,0,238584,33163888,519511616,549453824,8192,0,0,0,0
471.219358,53016,0,1000,345,15,451089,19770,88166400,43790336,33910080,1813619,317980672,318242815,318111744,0,238584,43134704,511567008,549453824,8192,0,0,0,0
412.762821,52928,0,1000,391,19,358734,52386,87863296,43790336,33791280,1813596,51806208,225312767,138534912,86712320,238584,43199656,511628696,549453824,8192,0,0,0,0
508.332636,62900,0,1512,401,14,459213,71243,98111488,53059584,42888816,2077859,341311488,341573631,341442560,0,238584,52263240,502840376,549453824,8192,0,0,0,0
437.575204,52792,0,1000,357,13,417653,23829,87650304,44052480,33805304,1821927,292028416,292290559,292159488,0,238584,43128488,511640840,549453824,8192,0,0,0,0
481.223669,53256,0,1000,421,16,433843,42725,88027136,43528192,33922752,1831626,341311488,341573631,341442560,0,238584,43102248,511532032,549453824,8192,0,0,0,0
504.173233,62948,0,1512,357,11,462263,59722,98091008,53059584,42851200,2077870,352845824,353107967,352976896,0,238584,52192888,502450312,549453824,8192,0,0,0,0
415.119971,43128,0,504,397,12,363796,49509,77881344,34271232,25432056,1567442,330039296,330301439,330170368,0,238584,33399640,519561296,549453824,8192,0,0,0,0
