duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
304.351043,44152,0,0,236,7,271409,35435,67211264,40435712,4109296,1215615,9887744,209977343,91317589.33333333,85783130.56429942,194312,22595496,1623166936,1627389952,8192,0,0,0,0
316.545474,46764,0,0,451,10,340522,30239,81756160,53288960,20745520,1257246,9830400,281542655,145623040,135788544,411312,34698376,1605731168,1627389952,1472104,0,0,0,0
303.699639,44964,0,0,164,11,305340,30823,79589376,53551104,20636608,1257335,52658176,214958079,133783552,81108992,411312,34936440,1605605616,1627389952,8192,0,0,0,0
418.530315,47096,0,0,453,8,395196,35220,80629760,54075392,18966120,1246784,10092544,372244479,130777088,170650548.71354645,194312,35706600,1607984240,1627389952,8192,0,0,0,0
331.816955,46872,0,0,318,14,312940,30803,82280448,53288960,20687080,1249174,9338880,232128511,99501397.33333333,95741215.13704383,411312,34842008,1605740752,1627389952,1471448,0,0,0,0
253.183188,43536,0,0,519,4,254826,26647,67284992,40697856,4095304,1215620,206831616,206962687,206897152,0,194312,22913120,1622886176,1627389952,8192,0,0,0,0
329.974672,47112,0,0,191,13,352847,39818,80961536,53288960,21398984,1271142,9822208,225705983,96778922.66666667,92955916.18650824,411312,34776848,1605523472,1627389952,8192,0,0,0,0
269.373747,44324,0,0,315,4,254955,31862,67354624,40173568,4086000,1207730,56721408,183238655,119955456,63217664,194312,22369568,1623189800,1627389952,8192,0,0,0,0
268.029167,45432,0,0,235,6,276591,48211,79835136,54075392,18325056,1240603,11698176,171966463,81981440,66859100.46921254,194312,34957984,1608662440,1627389952,8192,0,0,0,0
281.555301,43284,0,0,620,7,276512,31597,66985984,40697856,4113496,1207655,10444800,247070719,128727040,118278144,194312,22900184,1623163696,1627389952,8192,0,0,0,0
258.663708,45684,0,0,324,12,282778,23829,79454208,53288960,20643400,1249175,11173888,217055231,114083840,102905856,411312,34814032,1605815496,1627389952,8192,0,0,0,0
331.601665,46992,0,0,200,14,334787,43177,80109568,54075392,18411824,1212902,10027008,228851711,75870208,89976215.78921327,194312,34983944,1608456200,1627389952,8192,0,0,0,0
398.127121,47840,0,0,254,13,367602,59269,81956864,53813248,18408064,1221110,9682944,275513343,121204736,112585924.33782196,194312,34973048,1608564152,1627389952,8192,0,0,0,0
303.4844,46660,0,0,185,8,339572,20141,81674240,53026816,21382448,1263055,49119232,224526335,136798208,87662592,411312,34721336,1605107736,1627389952,8192,0,0,0,0
293.114594,47568,0,0,335,12,318205,26829,81514496,53288960,20730528,1257394,10043392,210632703,90200746.66666667,86659715.1913446,411312,34864608,1605694712,1627389952,8192,0,0,0,0
318.827184,47784,0,0,230,20,367453,37564,81797120,54075392,18413872,1212900,9928704,220856319,96563200,90094149.04303703,194312,34985384,1608508432,1627389952,8192,0,0,0,0
308.281051,45208,0,0,292,12,326676,35920,79650816,53026816,20735376,1257346,10240000,214433791,92363434.66666667,87976538.42395,411312,34830888,1606184104,1627389952,8192,0,0,0,0
295.296457,43680,0,0,386,9,273975,49160,67096576,40173568,4121384,1207655,10231808,265027583,137598976,127363072,194312,22337920,1623156120,1627389952,8192,0,0,0,0
229.470668,44336,0,0,323,4,226010,55422,67338240,40435712,4145096,1207655,12886016,180748287,96786432,83896320,194312,22661904,1623129032,1627389952,8192,0,0,0,0
285.569071,43800,0,0,448,9,259021,52278,66703360,40173568,4099280,1207732,11190272,253231103,132179968,120985600,194312,22354712,1623178048,1627389952,8192,0,0,0,0
278.416439,45588,0,0,202,21,289093,39973,80310272,53288960,20656352,1249184,248774656,248905727,248840192,0,411312,34812720,1605835096,1627389952,8192,0,0,0,0
294.792137,46884,0,0,177,8,316505,46261,81481728,53551104,20650440,1249111,11534336,262537215,137005056,125466624,411312,34979184,1605774096,1627389952,1357048,0,0,0,0
294.736711,44640,0,0,310,10,261065,42261,67371008,40173568,4094136,1215615,10452992,224395263,91538773.33333333,94659963.1536755,194312,22378968,1623183160,1627389952,8192,0,0,0,0
261.304195,44396,0,0,236,8,288798,36858,78843904,53288960,19867968,1256899,9625600,225705983,117635072,108005376,411312,34946424,1607004464,1627389952,8192,0,0,0,0
297.952682,45552,0,0,347,9,319722,33369,80461824,53551104,20752808,1257178,11362304,255328255,133314560,121948160,411312,34852248,1605435816,1627389952,8192,0,0,0,0
297.975199,44452,0,0,370,9,279004,38182,67727360,40697856,4070504,1207653,266862592,266993663,266928128,0,194312,22893872,1623204752,1627389952,8192,0,0,0,0
294.786359,47528,0,0,207,13,310602,44674,82206720,53288960,21322016,1254876,263061504,263192575,263127040,0,411312,34718400,1605561392,1627389952,1176536,0,0,0,0
376.965362,46748,0,0,234,12,394396,27257,81272832,53288960,21405520,1254922,66682880,274464767,170516480,103817216,411312,34736696,1604791128,1627389952,8192,0,0,0,0
312.874031,47544,0,0,252,9,347177,27997,82141184,54075392,18478464,1223955,10936320,218103807,95282517.33333333,88803479.893374,194312,34890768,1608271936,1627389952,8192,0,0,0,0
222.174436,44484,0,0,515,5,229930,46967,67080192,40173568,4057008,1207730,187301888,187432959,187367424,0,194312,22378200,1623218696,1627389952,8192,0,0,0,0
325.770391,45820,0,0,214,13,305583,33934,80396288,53551104,18409080,1212889,71237632,218497023,144850944,73580544,194312,34903016,1608720464,1627389952,8192,0,0,0,0
373.10703,47680,0,0,643,29,351113,45856,82100224,54075392,18407216,1221060,9592832,256507903,114708480,104048272.23544231,194312,34996696,1608515088,1627389952,8192,0,0,0,0
317.224645,44412,0,0,367,7,266560,47827,67305472,40435712,4063344,1207430,10084352,225050623,94408704,93629993.4279847,194312,22651056,1623213560,1627389952,8192,0,0,0,0
288.61268,44112,0,0,371,7,285046,28657,67248128,40435712,4139144,1207742,10133504,254541823,132306944,122169344,194312,22639840,1623138024,1627389952,8192,0,0,0,0
319.631939,47136,0,0,452,16,343130,45115,81948672,53026816,21339064,1254850,9478144,286261247,147806208,138323968,411312,34801760,1605593104,1627389952,1668080,0,0,0,0
324.071299,44084,0,0,210,11,280876,41563,66854912,40173568,4051520,1207728,59310080,238157823,148709376,89382912,194312,22373064,1623224096,1627389952,8192,0,0,0,0
383.096587,46700,0,0,183,20,364418,51686,81285120,53026816,21330480,1254886,83755008,267517951,175620096,91832320,411312,34795520,1605642736,1627389952,8192,0,0,0,0
305.754775,47148,0,0,381,176,331914,34405,82317312,53288960,20648528,1249141,10035200,212860927,93682346.66666667,86491228.87141149,411312,34830464,1605817368,1627389952,1661136,0,0,0,0
