duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
405.803783,45264,0,0,213,9,364779,50543,80027648,53551104,18325712,1232408,125960192,252837887,189382656,63389696,194944,34828016,1608867712,1627389952,8192,0,0,0,0
347.381172,44552,0,0,364,11,328685,20276,67010560,40173568,4518200,1207426,147849216,179437567,163643392,15728640,194944,22382056,1622234448,1627389952,8192,0,0,0,0
512.502773,47672,0,0,270,27,470770,38802,81797120,53551104,18886912,1215777,9953280,244449279,123202560,92736815.40146697,194944,34682584,1608008856,1627389952,8192,0,0,0,0
331.479709,43788,0,0,334,8,316658,29553,66891776,40435712,4516840,1207718,45907968,265814015,155836416,109912064,194944,22607280,1622518064,1627389952,8192,0,0,0,0
456.965705,46652,0,0,348,17,432120,21481,80367616,53551104,18402488,1249236,182452224,242876415,212664320,30146560,194944,34996560,1608720304,1627389952,8192,0,0,0,0
420.442477,44792,0,0,203,14,379463,38948,79568896,54075392,18791672,1207424,11452416,182190079,100131840,69996029.41399005,194944,34955968,1607978648,1627389952,8192,0,0,0,0
440.808702,44988,0,0,176,11,395214,47063,79802368,53551104,18328256,1207426,41418752,232259583,138199040,77901607.66697972,194944,34901528,1608868856,1627389952,8192,0,0,0,0
424.560628,44460,0,0,381,11,386276,32395,67076096,40173568,4518128,1207743,66584576,200671231,132005888,54753829.46283741,194944,22390680,1622234680,1627389952,8192,0,0,0,0
302.234363,45508,0,0,236,10,343330,23970,80306176,54075392,18382248,1215831,26378240,200933375,91125077.33333333,78016956.9906865,194944,34785216,1608798856,1627389952,8192,0,0,0,0
355.18087,47808,0,0,330,16,371206,28108,80883712,54075392,18403968,1212894,24543232,235405311,111850837.33333333,89778221.71925646,194944,35061168,1608783512,1627389952,8192,0,0,0,0
410.97786,43480,0,0,456,20,376190,32604,66985984,40435712,4518368,1207729,55410688,209453055,129482752,62990019.10310333,194944,22656128,1622516648,1627389952,8192,0,0,0,0
478.733014,47080,0,0,302,13,448685,45901,80916480,54075392,18435120,1246601,133955584,314310655,224083968,90095616,194944,34818392,1608739264,1627389952,8192,0,0,0,0
337.632721,44080,0,0,386,7,293933,62979,67461120,40697856,4518248,1207721,53936128,207224831,105775104,71695391.81763202,194944,22664176,1622519904,1627389952,8192,0,0,0,0
307.141949,44152,0,0,385,5,281499,52219,67108864,40435712,4517808,1207699,16891904,259391487,138113024,121212928,194944,22545880,1622517096,1627389952,8192,0,0,0,0
335.074295,44296,0,0,502,7,296112,34752,78962688,53813248,18325848,1240595,74055680,237371391,155697152,81608704,194784,35129104,1608815136,1627389952,8192,0,0,0,0
342.421837,45312,0,0,233,11,319108,20613,79720448,53551104,18792136,1207423,9625600,207355903,31183667.2,58850994.76573808,194944,34861872,1608175336,1627389952,8192,0,0,0,0
336.290006,43772,0,0,434,7,292807,54162,66617344,39911424,4518320,1207719,52330496,206307327,105076053.33333333,71556442.20166175,194944,22175096,1622522680,1627389952,8192,0,0,0,0
405.535938,44872,0,0,211,11,368663,32413,79646720,53813248,18326440,1207433,9322496,190447615,94077952,68857573.99740006,194944,34960680,1608758880,1627389952,8192,0,0,0,0
468.15438,47360,0,0,194,13,421435,44156,81965056,54075392,18422016,1215825,64978944,233570303,146838869.33333334,68878149.36521918,194944,35048888,1608727896,1627389952,8192,0,0,0,0
396.206224,45472,0,0,215,8,347626,44110,80105472,53551104,18791648,1207417,71368704,184418303,125566976,46227763.03566297,194944,34909200,1608125960,1627389952,8192,0,0,0,0
444.990011,47616,0,0,335,23,447073,38859,81436672,53551104,18401312,1241105,146931712,270270463,208568320,61571072,194944,34865992,1608770920,1627389952,8192,0,0,0,0
387.237034,45408,0,0,232,28,354971,43732,80138240,53813248,18427224,1207419,124125184,239992831,182042624,57884672,194944,35155200,1608518120,1627389952,8192,0,0,0,0
321.367085,45048,0,0,296,11,324513,19352,67289088,40435712,4518384,1207660,58392576,232390655,145367040,86958080,194944,22672808,1622516632,1627389952,8192,0,0,0,0
475.280955,47024,0,0,371,17,447989,20821,80801792,53551104,18400136,1212849,9502720,224526335,111252480,84769674.30232337,194944,34861360,1608794456,1627389952,8192,0,0,0,0
372.333526,44524,0,0,282,6,315862,53323,67272704,40435712,4517232,1207672,128253952,223739903,175980544,47693824,194944,22630280,1622235472,1627389952,8192,0,0,0,0
436.238101,44044,0,0,573,11,381770,51755,67366912,40435712,4516856,1207647,125239296,289406975,207273984,82001920,194944,22674040,1622523216,1627389952,8192,0,0,0,0
456.643672,47148,0,0,484,15,409595,41183,81145856,54075392,18423416,1215799,62062592,220725247,142589952,64763323.515934624,194944,35044504,1608774736,1627389952,8192,0,0,0,0
431.729167,44404,0,0,413,12,390272,34269,67321856,40435712,4517464,1207423,178651136,230555647,204603392,25886720,194944,22599920,1622521920,1627389952,8192,0,0,0,0
392.868807,45088,0,0,289,21,353006,37068,79777792,53813248,18327880,1207426,136577024,227278847,181927936,45285376,194944,35154440,1608860208,1627389952,8192,0,0,0,0
304.618645,44688,0,0,571,10,307266,30712,79650816,53813248,18326368,1207422,33456128,185204735,94478336,65373383.99789794,194944,34935664,1608760768,1627389952,8192,0,0,0,0
440.392044,47624,0,0,498,10,393845,42329,81993728,53813248,18423264,1215768,39747584,242745343,137303381.33333334,83025191.41488135,194944,35046672,1608772216,1627389952,8192,0,0,0,0
493.495303,47052,0,0,494,21,459358,36959,81534976,54075392,18401544,1212754,9609216,248250367,115563520,92642493.98156731,194944,34833216,1608578216,1627389952,8192,0,0,0,0
498.690202,47320,0,0,215,15,461448,35957,81833984,53813248,18402096,1212710,9412608,275775487,119467008,98526199.62426563,194944,34935152,1608792512,1627389952,8192,0,0,0,0
382.360949,44932,0,0,294,6,337374,46697,79732736,53551104,18326656,1232413,139591680,218103807,178847744,39190528,194944,34923312,1608887840,1627389952,8192,0,0,0,0
248.719713,44228,0,0,389,7,255142,30703,67436544,40173568,4518304,1207431,19791872,203816959,111775744,91975680,194944,22378856,1622522112,1627389952,8192,0,0,0,0
442.790863,44532,0,0,548,11,404157,33963,67256320,40173568,4517496,1207723,10330112,250085375,139541162.66666666,98743309.73359002,194944,22393152,1622517728,1627389952,8192,0,0,0,0
467.278933,47132,0,0,261,22,419931,63650,81334272,53551104,18398280,1241068,49315840,221773823,147079168,72245886.6183363,194944,34805336,1608796632,1627389952,8192,0,0,0,0
454.502503,46064,0,0,280,16,412750,37936,80306176,53813248,18521664,1215702,166854656,267649023,217251840,50331648,194944,34912288,1608468312,1627389952,8192,0,0,0,0
418.055324,43972,0,0,475,10,372423,41987,67313664,40435712,4518320,1207724,160301056,228458495,194379776,34013184,194944,22555184,1622518248,1627389952,8192,0,0,0,0
381.707513,44852,0,0,227,26,334284,48913,79417344,53551104,18326992,1232400,57081856,173408255,119663274.66666667,47870729.093870334,194944,34877536,1608868088,1627389952,8192,0,0,0,0
424.400464,45224,0,0,327,16,357257,63735,79904768,53551104,18363304,1207424,192151552,203816959,197984256,5767168,194944,35154144,1608621144,1627389952,8192,0,0,0,0
424.10376,45516,0,0,232,12,402174,34013,80080896,54075392,18827704,1212904,9576448,254935039,100797440,92243354.83360071,194944,34948416,1608234288,1627389952,8192,0,0,0,0
372.360755,44144,0,0,335,4,317274,52193,66883584,40173568,4518328,1207735,135921664,204734463,170328064,34340864,194944,22344944,1622516856,1627389952,8192,0,0,0,0
373.11416,44428,0,0,466,17,320980,48511,67297280,40435712,4516752,1207712,90177536,262143999,176144384,85934080,194944,22620096,1622518168,1627389952,8192,0,0,0,0
382.955259,43972,0,0,307,7,332709,45832,66879488,40173568,4517408,1207425,53182464,163971071,121148757.33333333,48579920.86293226,194944,22314088,1622522960,1627389952,8192,0,0,0,0
264.003043,43664,0,0,506,8,242931,52238,67100672,40173568,4518552,1207748,24117248,214040575,119050240,94924800,194944,22387904,1622521912,1627389952,8192,0,0,0,0
429.062072,45944,0,0,218,10,384318,42574,80666624,53551104,18362808,1212910,139722752,268042239,203882496,64094208,194944,34909944,1608832192,1627389952,8192,0,0,0,0
388.315818,44280,0,0,325,10,347852,34162,67366912,40435712,4516872,1207692,141819904,227540991,184680448,42795008,194944,22651504,1622522120,1627389952,8192,0,0,0,0
276.423376,44012,0,0,306,10,260149,37600,67747840,40435712,4516840,1207630,25362432,218234879,121769984,96399360,194944,22669944,1622520008,1627389952,8192,0,0,0,0
247.975536,44144,0,0,433,11,204055,69846,66863104,40173568,4517784,1207435,21020672,201064447,111013888,89985024,194944,22351832,1622521144,1627389952,8192,0,0,0,0
319.287336,44444,0,0,328,316,293195,47162,66842624,40173568,4517688,1207428,39649280,202375167,96774826.66666667,74708532.45538522,194944,22344176,1622223952,1627389952,8192,0,0,0,0
381.182053,43588,0,0,318,14,347938,28014,67014656,40435712,4517464,1207423,10059776,239599615,119320576,94000647.83312513,194944,22636720,1622521648,1627389952,8192,0,0,0,0
560.735392,47244,0,0,313,20,521657,30015,80875520,54075392,18799344,1215801,263192576,276037631,269582336,6324224,194944,34849432,1608103040,1627389952,8192,0,0,0,0
405.309446,44416,0,0,354,13,350114,56626,67301376,40173568,4517568,1207657,10608640,246022143,123959978.66666667,96273199.59112965,194944,22385304,1622522872,1627389952,8192,0,0,0,0
472.949051,45036,0,0,290,14,436950,25960,79708160,53551104,18790824,1207422,9584640,248643583,113509376,88929687.65353051,194944,35073496,1608145960,1627389952,8192,0,0,0,0
438.89326,46628,0,0,358,15,407860,29343,79921152,53813248,18401216,1241056,60162048,190840831,138985472,56635281.65346884,194944,34917576,1608791456,1627389952,8192,0,0,0,0
347.84609,44512,0,0,279,11,315732,33239,67362816,40697856,4517640,1207420,10272768,181272575,107354794.66666667,71688472.39387006,194944,22866112,1622237888,1627389952,8192,0,0,0,0
326.476448,43824,0,0,500,5,276528,49209,66895872,40173568,4517824,1207726,93847552,201981951,147898368,54018048,194944,22409984,1622522712,1627389952,8192,0,0,0,0
395.07027,47480,0,0,226,20,370302,41144,80781312,54075392,19676392,1246781,108003328,265289727,186630144,78594048,194944,35652224,1607365856,1627389952,8192,0,0,0,0
518.820627,47464,0,0,290,15,464720,49682,82096128,53813248,18400536,1241097,48496640,231079935,160262826.66666666,79947187.42947242,194944,34946272,1608790016,1627389952,8192,0,0,0,0
359.511638,47256,0,0,372,15,354326,54557,81969152,53813248,18422824,1215813,25427968,256638975,112992256,102340016.33608562,194944,34774928,1608757976,1627389952,8192,0,0,0,0
441.919722,43772,0,0,273,13,405743,30513,66875392,40173568,4518296,1207731,64749568,198705151,140514645.33333334,56056436.91061065,194944,22376400,1622522424,1627389952,8192,0,0,0,0
485.804028,47444,0,0,452,16,428804,49641,81866752,54075392,18434744,1215607,10067968,267124735,115891200,100898798.61878999,194944,34837408,1608743776,1627389952,8192,0,0,0,0
367.041339,44200,0,0,342,10,334550,28407,66510848,39911424,4517272,1207428,118095872,214958079,166510592,48381952,194944,22104568,1622457176,1627389952,8192,0,0,0,0
396.016212,44068,0,0,535,12,358057,42784,66924544,40173568,4517936,1207636,9822208,237109247,122845866.66666667,92764860.03903109,194944,22400352,1622522520,1627389952,8192,0,0,0,0
270.256802,44196,0,0,311,8,259435,31936,67682304,40697856,4517104,1207425,24543232,218759167,121622528,97071104,194944,22872744,1622517640,1627389952,8192,0,0,0,0
571.285749,47700,0,0,271,28,532405,37351,82444288,53813248,18433344,1246773,246808576,290717695,268730368,21856256,194944,34733680,1608740744,1627389952,8192,0,0,0,0
382.049839,46824,0,0,328,11,362201,44851,80969728,54337536,18435088,1215745,105709568,248381439,177029120,71286784,194944,34848168,1608743256,1627389952,8192,0,0,0,0
