duration,maxRss,fsRead,fsWrite,vContextSwitches,ivContextSwitches,userDiff,sysDiff,rss,heapTotal,heapUsed,external,elMin,elMax,elMean,elStd,bytecodeMetadataSize,heapPhysical,heapAvailable,heapLimit,mallocMem,netByRx,netPkgRx,netByTx,netPkgTx
530.519434,51580,0,0,432,11,550425,26918,86564864,42418176,33033144,1241531,10158080,313524223,123929600,114149210.50033753,196848,41542880,515695088,549453824,8192,0,0,0,0
508.193021,47236,0,0,489,13,452332,59690,82112512,39010304,33043904,1226522,111214592,368312319,239714304,128466944,196848,38069888,515391072,549453824,8192,0,0,0,0
456.028404,53492,0,0,434,17,484582,32234,88866816,42156032,33104192,1242318,10092544,240648191,48318691.55555555,76577534.933082,196848,41339936,515931896,549453824,1751264,0,0,0,0
452.692357,47668,0,0,490,15,428961,24230,82182144,38748160,33021784,1224590,65896448,246022143,141563221.33333334,76260781.7114518,196848,38191416,516023632,549453824,8192,0,0,0,0
492.383664,46888,0,0,402,14,455518,58568,81747968,38486016,33193200,1225330,103546880,358875135,231161856,127582208,196688,37848728,515788680,549453824,8192,0,0,0,0
677.524462,53076,0,0,660,20,638174,52186,88674304,42418176,32665104,1198212,79101952,373555199,218114730.66666666,120696728.94471154,196848,40764816,516369208,549453824,1669608,0,0,0,0
440.017617,46820,0,0,478,10,443552,25777,82116608,38223872,33141128,1225460,10108928,276824063,83270041.6,99245031.38465095,196848,37674192,515924344,549453824,8192,0,0,0,0
629.312016,52676,0,0,496,22,636504,26191,87740416,42418176,33557736,1209120,271056896,321126399,296091648,24903680,196848,40975560,515557024,549453824,2234608,0,0,0,0
489.044158,47504,0,0,452,5,452076,61979,82313216,38748160,33186480,1225457,112852992,350748671,231751680,118865920,196848,37759216,515228080,549453824,8192,0,0,0,0
455.413318,47492,0,0,537,10,456653,34021,82198528,38748160,33172968,1225406,119996416,307494911,213696512,93667328,196848,37704704,515302712,549453824,8192,0,0,0,0
440.153599,47948,0,0,610,7,427605,47180,82800640,38748160,33015168,1228595,136577024,272891903,204701696,68059136,196848,38077136,515955408,549453824,502608,0,0,0,0
609.333163,51524,0,0,530,21,576122,50123,86507520,42418176,32656800,1200110,10100736,315097087,116990771.2,104186300.20152515,196848,41295360,516443432,549453824,8192,0,0,0,0
632.254059,51004,0,0,592,25,601099,47775,85852160,41893888,32656592,1200110,10108928,326631423,66663310.222222224,109701349.17648165,196848,41248112,516597504,549453824,8192,0,0,0,0
527.154271,47400,0,0,523,15,484890,55068,78217216,32972800,19318408,1201829,215744512,286261247,250970112,35160064,196848,30324128,530005808,549453824,1054944,0,0,0,0
519.729315,50732,0,0,632,18,496383,47805,85803008,42680320,32924120,1239238,180092928,306970623,243499008,63340544,196848,41414224,515539728,549453824,8192,0,0,0,0
517.140621,48112,0,0,477,16,490293,48096,82849792,38748160,33254128,1233641,118161408,365953023,242008064,123813888,196848,37943776,515711648,549453824,8192,0,0,0,0
435.4195,47248,0,0,470,13,404268,62036,82288640,39010304,33012392,1226714,127336448,283377663,205307904,77938688,196848,38291840,515892408,549453824,8192,0,0,0,0
474.192564,48520,0,0,444,14,436907,46621,82903040,39010304,33057792,1228525,10092544,267124735,45152665.6,79036281.57229033,196848,38093544,515354664,549453824,8192,0,0,0,0
581.461322,50584,0,0,611,14,541395,37131,79216640,33234944,19720856,1209125,10092544,288882687,42864009.84615385,81002131.60937552,196848,32746400,529292072,549453824,1304432,0,0,0,0
553.029594,50520,0,0,653,19,534231,72477,77336576,32710656,18214864,1191008,197394432,330301439,263815168,66355200,196848,31138096,530846648,549453824,8192,0,0,0,0
588.420914,50560,0,0,566,20,537284,65731,78106624,33497088,19572008,1209126,10117120,287047679,112995532.8,113611734.4007596,196848,32448608,529320696,549453824,1202432,0,0,0,0
550.881096,50352,0,0,747,12,511065,54564,78397440,32448512,19325112,1201842,9134080,251396095,84189184,105617125.75810471,196848,31156072,529787200,549453824,1270712,0,0,0,0
581.597199,52776,0,0,393,21,546874,48702,86745088,42156032,32822400,1234094,61014016,273154047,137949184,82756985.57672752,196848,41248048,516122472,549453824,1947872,0,0,0,0
547.18531,50972,0,0,400,20,489647,75139,85884928,42680320,32899808,1230915,10100736,345243647,74670080,114979449.1578062,196848,41453024,516136016,549453824,8192,0,0,0,0
691.463257,51956,0,0,476,26,683875,37880,87433216,42156032,33512912,1209142,10133504,353894399,217812992,149171094.11574987,196848,41061232,515588056,549453824,1292632,0,0,0,0
423.89867,47248,0,0,546,9,374559,64745,82051072,39272448,32967232,1224633,58032128,229375999,131055616,72160702.52581954,196848,38299856,515943760,549453824,8192,0,0,0,0
613.197529,52308,0,0,620,22,616206,39349,87523328,42156032,33110272,1201796,10125312,374603775,195899392,148829552.17505828,196848,41223944,516121368,549453824,1805792,0,0,0,0
542.567002,50996,0,0,583,17,507819,47137,61652992,16973824,3908000,1200177,178782208,339214335,258965504,80117760,196848,16703080,545457192,549453824,8192,0,0,0,0
532.431203,52112,0,0,607,18,505615,52974,87257088,42680320,32673600,1236893,193593344,308543487,251035648,57376768,196848,41399136,515506336,549453824,1678264,0,0,0,0
701.120267,52492,0,0,497,26,696235,48840,87154688,42156032,32777176,1201826,287571968,381157375,334364672,46661632,196848,40867848,516263928,549453824,1524296,0,0,0,0
496.361038,51448,0,0,394,16,459549,54093,86986752,42156032,32633144,1226848,206962688,262012927,234487808,27459584,196848,41287048,515961936,549453824,1426544,0,0,0,0
600.184905,52020,0,0,564,23,575135,40498,86315008,42156032,32784376,1201776,76283904,292290559,189781333.33333334,88465485.83960111,196848,41157040,516469520,549453824,600912,0,0,0,0
505.512057,47320,0,0,494,8,501089,36042,82608128,38486016,33143648,1225510,126156800,348651519,237355008,111165440,196848,37787944,515779464,549453824,8192,0,0,0,0
468.363848,48128,0,0,488,19,440847,48093,82821120,40321024,33183680,1226706,78118912,245104639,146691413.33333334,71317313.52497002,196848,38219120,515937040,549453824,8192,0,0,0,0
714.778263,53512,0,0,510,27,702316,27255,88707072,42156032,32775512,1201827,10756096,390594559,171568128,144096798.48560822,196848,41316608,516247336,549453824,2364128,0,0,0,0
469.420227,47396,0,0,404,16,459071,38697,82120704,39010304,33055392,1226726,140378112,298057727,219185152,78741504,196848,38180480,515489512,549453824,8192,0,0,0,0
561.503969,53256,0,0,445,15,516205,68215,86487040,42156032,32697584,1245116,194510848,330039295,262242304,67665920,196848,41346888,515962952,549453824,8192,0,0,0,0
457.081641,50456,0,0,508,7,469695,31360,85946368,42156032,32757680,1234074,10117120,241172479,61960777.14285714,82332440.93392256,196848,41330584,516326240,549453824,8192,0,0,0,0
